"区市町村通番","所管地域","名称","ヨミガナ","電話番号","ＦＡＸ番号","郵便番号","住所","緯度","経度","座標系","対応時間帯","特記事項","施設種別／地域包括支援センター","施設種別／ブランチ・サブセンター","施設種別／在宅介護支援センター","施設種別／その他相談窓口","相談内容／高齢者の異変","相談内容／消費者被害のおそれ"
"1","区内全域","品川区福祉計画課","ｼﾅｶﾞﾜｸﾌｸｼｹｲｶｸｶ","03-5742-6914","03-5742-6797","140-8715","品川区広町2-1-36","35.608299","139.730957","JGD2011","平日／8時30分～17時15分","対象によって主管課へつなぎます。","","","","〇","〇",""
"2","中延1・2、東中延1、西中延1・2、戸越5、平塚","成幸在宅介護支援センター","ｾｲｺｳｻﾞｲﾀｸｶｲｺﾞｼｴﾝｾﾝﾀｰ","03-3787-7493","03-3787-7494","142-0053","品川区中延1-8-7","35.612217","139.711746","JGD2011","月曜日～土曜日９時～１９時／祝日を除く","","","〇","〇","","〇",""
"3","東品川3(1～9)、南品川1・2・4・5(1～9)・6","東品川在宅介護支援センター","ﾋｶﾞｼｼﾅｶﾞﾜｻﾞｲﾀｸｶｲｺﾞｼｴﾝｾﾝﾀｰ","03-5479-2793","03-5479-2614","140-0002","品川区東品川3-1-5","35.616982","139.746597","JGD2011","月曜日～土曜日９時～１９時／祝日を除く","","","〇","〇","","〇",""
"4","大井1・4・6、広町","大井在宅介護支援センター","ｵｵｲｻﾞｲﾀｸｶｲｺﾞｼｴﾝｾﾝﾀｰ","03-5742-2723","03-5742-2724","140-0014","品川区大井4-14-8","35.601936","139.732315","JGD2011","月曜日～土曜日９時～１９時／祝日を除く","","","〇","〇","","〇",""
"5","西品川、大崎","大崎在宅介護支援センター","ｵｵｻｷｻﾞｲﾀｸｶｲｺﾞｼｴﾝｾﾝﾀｰ","03-3779-2981","03-3779-3196","141-0032","品川区大崎2-11-1、2階","35.618370","139.727356","JGD2011","月曜日～土曜日９時～１９時／祝日を除く","","","〇","〇","","〇",""
"6","豊町1、戸越1～4","戸越台在宅介護支援センター","ﾄｺﾞｼﾀﾞｲｻﾞｲﾀｸｶｲｺﾞｼｴﾝｾﾝﾀｰ","03-5750-1053","03-5750-1496","142-0041","品川区平塚2-3-4","35.618355","139.717682","JGD2011","月曜日～土曜日９時～１９時／祝日を除く","","","〇","〇","","〇",""
"7","八潮","八潮在宅介護支援センター","ﾔｼｵｻﾞｲﾀｸｶｲｺﾞｼｴﾝｾﾝﾀｰ","03-3790-0470","03-3790-0439","140-0003","品川区八潮5-10-27","35.599377","139.752625","JGD2011","月曜日～土曜日９時～１９時／祝日を除く","","","〇","〇","","〇",""
"8","小山4・5、荏原1～4","荏原在宅介護支援センター","ｴﾊﾞﾗｻﾞｲﾀｸｶｲｺﾞｼｴﾝｾﾝﾀｰ","03-5750-3704","03-5750-3695","142-0063","品川区荏原2-9-6","35.617012","139.711105","JGD2011","月曜日～土曜日９時～１９時／祝日を除く","","","〇","〇","","〇",""
"9","区内全域","品川区統括在宅介護支援センター（品川区地域包括支援センター）","ｼﾅｶﾞﾜｸﾄｳｶﾂｻﾞｲﾀｸｶｲｺﾞｼｴﾝｾﾝﾀｰ","03-5742-6729","03-5742-6881","140-8715","品川区広町2-1-36","35.608299","139.730957","JGD2011","平日８時30分～17時15分","","〇","","〇","","〇",""
"10","小山6・7、荏原5～7、旗の台1・2・5(1～5、13～20)・6","小山在宅介護支援センター","ｺﾔﾏｻﾞｲﾀｸｶｲｺﾞｼｴﾝｾﾝﾀｰ","03-5749-7288","03-5498-0646","142-0062","品川区小山7-14-18","35.608883","139.696838","JGD2011","月曜日～土曜日９時～１９時／祝日を除く","","","〇","〇","","〇",""
