"上段：度数／下段：%","n=","幼稚園教諭","小学校教諭","中学校・高等学校教諭","看護師・助産師・保健師","ホームヘルパー","介護福祉士","その他保育・教育関係の資格","特にない","無回答"
"ＴＯＴＡＬ","15369","10431","772","634","86","1155","390","1837","2714","302"
"ＴＯＴＡＬ","100","67.9","5.0","4.1","0.6","7.5","2.5","12.0","17.7","2.0"
"性別・年代／女性計","14059","9629","696","576","83","1024","339","1674","2424","261"
"性別・年代／女性計","100","68.5","5.0","4.1","0.6","7.3","2.4","11.9","17.2","1.9"
"性別・年代／女性２０代","5708","4588","328","91","14","259","103","783","631","60"
"性別・年代／女性２０代","100","80.4","5.7","1.6","0.2","4.5","1.8","13.7","11.1","1.1"
"性別・年代／女性３０代","3634","2234","179","191","31","213","92","435","793","90"
"性別・年代／女性３０代","100","61.5","4.9","5.3","0.9","5.9","2.5","12.0","21.8","2.5"
"性別・年代／女性４０代","2861","1604","94","160","31","249","74","250","718","70"
"性別・年代／女性４０代","100","56.1","3.3","5.6","1.1","8.7","2.6","8.7","25.1","2.4"
"性別・年代／女性５０代以上","1751","1128","89","132","7","294","66","197","260","40"
"性別・年代／女性５０代以上","100","64.4","5.1","7.5","0.4","16.8","3.8","11.3","14.8","2.3"
"性別・年代／男性計","701","405","50","31","0","86","30","91","176","14"
"性別・年代／男性計","100","57.8","7.1","4.4","0.0","12.3","4.3","13.0","25.1","2.0"
"性別・年代／男性２０代","473","340","36","5","0","63","19","54","80","9"
"性別・年代／男性２０代","100","71.9","7.6","1.1","0.0","13.3","4.0","11.4","16.9","1.9"
"性別・年代／男性３０代以上","226","64","14","26","0","23","11","36","96","5"
"性別・年代／男性３０代以上","100","28.3","6.2","11.5","0.0","10.2","4.9","15.9","42.5","2.2"
"性別・年代／無回答","609","397","26","27","3","45","21","72","114","27"
"性別・年代／無回答","100","65.2","4.3","4.4","0.5","7.4","3.4","11.8","18.7","4.4"
