"","施設総数","給食やおやつなどの時間は、誤食防止のために職員が同じテーブルにつくなどの配慮をしている／施設数","給食やおやつなどの時間は、誤食防止のために職員が同じテーブルにつくなどの配慮をしている／割合","牛乳パックリサイクル体験や豆まきなどの活動を実施する際は、原因となる食材に触れたり吸い込まないように配慮している／施設数","牛乳パックリサイクル体験や豆まきなどの活動を実施する際は、原因となる食材に触れたり吸い込まないように配慮している／割合","食物アレルギーのある園児・児童に対してアナフィラキシー予防のために、誤食防止などの話をしている／施設数","食物アレルギーのある園児・児童に対してアナフィラキシー予防のために、誤食防止などの話をしている／割合","その他／施設数","その他／割合","無回答／施設数","無回答／割合"
"認可保育所＊","1588","1513","95.3","1070","67.4","999","62.9","252","15.9","36","2.3"
"認証保育所＊","527","497","94.3","307","58.3","309","58.6","77","14.6","12","2.3"
"認定こども園＊","95","88","92.6","56","58.9","52","54.7","13","13.7","3","3.2"
"幼稚園＊","666","500","75.1","282","42.3","303","45.5","87","13.1","45","6.8"
"ベビーホテル","331","293","88.5","124","37.5","150","45.3","49","14.8","18","5.4"
"家庭的保育","596","436","73.2","99","16.6","113","19.0","71","11.9","105","17.6"
"学童保育","1169","579","49.5","317","27.1","639","54.7","351","30.0","131","11.2"
"上記以外の施設","376","334","88.8","145","38.6","167","44.4","57","15.2","16","4.3"
"総数","5348","4240","79.3","2400","44.9","2732","51.1","957","17.9","366","6.8"
"＊前回調査施設 (再掲）","2876","2598","90.3","1715","59.6","1663","57.8","429","14.9","96","3.3" 
