"施設情報／No.","施設情報／事業所名","施設情報／法人名","施設情報／区市町村","施設情報／電話","施設情報／担当者名","施設情報／ホームページ","施設情報／Email","販売・受注可能な作業／製品・サービスの内容／内容","販売・受注可能な作業／分類","販売・受注可能な作業／提供可能総量／最小","販売・受注可能な作業／提供可能総量／最大","販売・受注可能な作業／納期","販売・受注可能な作業／販売・契約参考単価","販売・受注可能な作業／納品方法","受注実績／東京都","受注実績／官公庁(東京都以外)","受注実績／その他(民間企業等)","受注実績／（活用例等）"
"1","さわやかワーク中央","社会福祉法人中央区社会福祉協議会","中央区","03-3865-3661","和知智一","http://www.shakyo-chuo-city.jp/","sawayaka1@shakyo-chuo-city.jp","公園清掃","清掃","","5500m2","1年間","1.5円/m2","","無","有","無","箒。ちりとりによる掃き掃除のほか、ゴミの分別回収、花壇の撒水等を行います。"
"2","さわやかワーク中央","社会福祉法人中央区社会福祉協議会","中央区","03-3865-3661","和知智一","http://www.shakyo-chuo-city.jp/","sawayaka1@shakyo-chuo-city.jp","ビル敷地内清掃","清掃","","2700m2","1年間","1.5円/m2","","無","無","有","箒。ちりとりによる掃き掃除のほか、植栽への撒水等を行います。"
"3","さわやかワーク中央","社会福祉法人中央区社会福祉協議会","中央区","03-3865-3661","和知智一","http://www.shakyo-chuo-city.jp/","sawayaka1@shakyo-chuo-city.jp","住居表示板（大）清掃","清掃","","６～7枚/日","1ヶ月","3000円/枚","","無","有","無","洗剤、専用スプレー等を使って落書き、貼り紙等を落とします。"
"4","さわやかワーク中央","社会福祉法人中央区社会福祉協議会","中央区","03-3865-3661","和知智一","http://www.shakyo-chuo-city.jp/","sawayaka1@shakyo-chuo-city.jp","住居表示板（小）清掃","清掃","","２～３枚/日","1ヶ月","2000円/枚","","無","有","無","洗剤、専用スプレー等を使って落書き、貼り紙等を落とします。"
"5","ストローク・サービス","ストローク会","新宿区","03-5996-9533","","http://stroke-kai.jimdo.com","shuuroushien@stroke.jp","施設清掃","清掃","見積もりの上応相談","見積もりの上応相談","1年間","見積もりの上応相談","自力での納品可","無","無","有","高い技術力を持った職員による指導の下、安全で丁寧な作業を心がけ、日常清掃・定期清掃どちらも行います。作業内容・費用についてはご相談ください。"
"6","ファロ","社会福祉法人東京ムツミ会","新宿区","03-3350-4437","徳堂","http://www.mutumi.or.jp","tokyo@mutumi.or.jp","清掃","清掃","50m2","1000m2","1年間","10円/m2","自力での納品可","無","無","有","公園の清掃を複数名の利用者と職員がチームになり丁寧に作業致します。"
"7","就労センター『風』","特定非営利活動法人工房『風』","新宿区","03-3952-6014","馬場","http://kouboukaze.com/","kouboukaze@nifty.com","清掃作業","清掃","","","１年間","","自力での納品可","無","有","有","施設外清掃（公園清掃、新宿大ガード清掃、幼稚園清掃、旧西新宿小学校清掃など）"
"8","就労センター『風』","特定非営利活動法人工房『風』","新宿区","03-3952-6014","馬場","http://kouboukaze.com/","kouboukaze@nifty.com","清掃作業","清掃","","","１年間","","自力での納品可","無","有","有","施設外清掃（公園清掃、新宿大ガード清掃、幼稚園清掃、旧西新宿小学校清掃など）"
"9","は～と・ピア２","社会福祉法人文京槐の会","文京区","03-6801-8571","市川","http://www.enjunokai.com/","heartpia2@enjunokai.com","公園清掃","清掃","1000m2","4500m2","週１/1年間","1.3円／m2","自力での納品可","無","無","有",""
"10","銀杏企画三丁目","社会福祉法人本郷の森","文京区","03-5684-1016","竹内(宮本)","http://www.hongounomori.com/","ichou3@hongounomori.com","清掃","清掃","","1～2か所/日","１～３日/週","最賃時給","自力での納品可","無","無","有","2～5名程度のチームで伺います。文京区内希望。"
"11","たいとう第四福祉作業所","特定非営利活動法人つなぐ台東","台東区","03-3872-8548","風間","http://taitou-tunagu.or.jp/top/","taitou-4@crest.ocn.ne.jp","施設清掃","清掃","","","１年","年間契約","","無","有","有",""
"12","たいとう福祉作業所","特定非営利活動法人つなぐ台東","台東区","03-3871-0681","遠藤","http://tunagu-taitou.sakura.ne.jp/","taito-fukusaku@herb.ocn.ne.jp","施設清掃","清掃","","","1年","年間契約","","無","無","有","区内外郭団体施設内を清掃（除塵機やモップ等を用いる）"
"13","たいとう福祉作業所","特定非営利活動法人つなぐ台東","台東区","03-3871-0681","遠藤","http://tunagu-taitou.sakura.ne.jp/","taito-fukusaku@herb.ocn.ne.jp","施設清掃","清掃","","","1年","年間契約","","無","無","有","区内外郭団体施設内を清掃（除塵機やモップ等を用いる）"
"14","すまいる・さぽーと品川","一般社団法人すまいる・さぽーと品川","品川区","03-6433-3356","福井","","info@smile-support.or.jp","清掃作業","清掃","","","","要相談","自力での納品可","無","無","有",""
"15","就労継続支援B型事業所TODAY南品川","リアルカンパニー株式会社","品川区","03-6260-0862","大滝","http://realcompany.jp/","todayminamishinagawa@gmail.com","公園・清掃業務","清掃","50","500","年間","15円/平米","自力での納品可","無","無","有","現在お寺のお墓、境内の掃き掃除、草むしり、ごみ等の清掃を行っております。"
"16","福祉工場しながわ","品川総合福祉センター","品川区","03-5460-8601","石川","http://www.shinafuku.com/","koujoe@shinafuku.org","公園清掃","清掃","100m2","1000m2","短期及び通年","7～10円／m2","自力での納品可","無","有","有","熊手、箒に丁寧に作業を行います。"
"17","かもめ第一工房","社会福祉法人福栄会","品川区","03-3458-4307","高橋","http://www.fukueikai.or.jp/","kamome1@fukueikai.or.jp","受注作業","清掃","3000m2","１年間","５円／m2","自力での納品可","自力での納品可","無","有","有","清掃道具を車両に積んで区内の公園を回っています。清掃の品質管理とくお園利用者の方への配慮をして作業を進めます。また、他法人からの清掃受注も請け負っています。"
"18","めぐろ","一般社団法人ウェル","目黒区","03-3710-7770","","","meguro3104@mx52.tiki.ne.jp","寮清掃・公園清掃","清掃","50m2","1000m2","1年間","応相談","自力での納品可","無","有","有","目黒区の東山遊園、貝塚公園の2ヶ所を清掃しています。他にも民泊施設の清掃もやっております。その他の公園、施設の清掃等ご相談ください。"
"19","さわやかワークセンター","社会福祉法人大田幸陽会","大田区","03-5747-5670","","http://www.ota-koyokai.or.jp","sawayakaws@image.ocn.ne.jp","公園清掃","清掃","792m2","3540m2","1年間","10.24円/m2","自力での納品可","無","有","無","公園清掃では２６年の実績。現在、５台の作業車で出張して多様な仕事に伺います。"
"20","のぞみ園","社会福祉法人大田幸陽会","大田区","03-5737-0777","赤羽","http://www.ota-koyokai.or.jp/nozomien/","nozomien@ma.point.ne.jp","館内・公園・斎場清掃作業","清掃","300m2","1000m2","１年間","15000/m2","自力での納品可","無","有","無","現在、館内清掃2か所、公園清掃区内12か所、臨海斎場の清掃作業で実績あり"
"21","東京都大田福祉工場","社会福祉法人東京コロニー","大田区","03-3762-7611","湯浅","https://ootafukushikojo.org/","yuasa@tocolo.or.jp","公園清掃","清掃","1","1","月７～８回","活用事例60000円／月","自力での納品可","無","有","無","大田区立公園委託"
"22","Navioけやき","社会福祉法人櫂","世田谷区","03-3421-8701","","http://www.swc-kai.com/","navio.keyaki@swc-kai.com","公園清掃","清掃","500m2","1000m2","1年間","1000円/時","自力での納品可","無","有","無",""
"23","にゃんこの館","特定非営利活動法人響心会","世田谷区","03-3482-5052","","https://www.nyankonoyakata.com","nyanko@khe.biglobe.ne.jp","公園・ビル清掃","清掃","週2回","週3回","1年間","1カ所年間20～100万","","無","有","無","官公庁2カ所より受託実績あり。"
"24","地域活動支援センター陽だまりの庭","特定非営利活動法人陽だまりの庭","世田谷区","03-3416-4669","尊田","http://www.hidamarinoniwa.com","info@hidamarinoniwa.com","公園清掃","清掃","","1457m2","1年間","457円/m2","自力での納品可","無","有","無",""
"25","ワークささはた","特定非営利活動法人あさのはネットワーク","渋谷区","03-3376-8924","菱木","http://worksasahata.com/","sasahata-1@asanoha-net.com","ビルの共有部分オフイス内清掃","清掃","100m2","300m2","1年間","15円/m2～応相談","自力での納品可","無","無","有",""
"26","ワークささはた","特定非営利活動法人あさのはネットワーク","渋谷区","03-3376-8924","菱木","http://worksasahata.com/","sasahata-1@asanoha-net.com","トイレ清掃","清掃","100m2","500m2","1年間","50円/m2","自力での納品可","無","有","有",""
"27","ワークセンターひかわ","ＮＰＯ法人渋谷神宮前","渋谷区","03-6712-5120","野崎克己","http://www.workcenter-hikawa.org/","hikawa@workcenter-hikawa.org","清掃・除草","清掃","相談","相談","相談","相談","自力での納品可","無","有","有","基本的には車で道具を運べる所です。"
