"","支払義務額(円)","支払済額(円)","徴収金等(円)","戻入未済額(円)","未払額(円)"
"保険給付費／療養給付費／計","241851032918","242178368008","307735412","19599678","0"
"保険給付費／療養給付費／現年度分（再掲）","241851032918","242178368008","307735412","19599678","0"
"保険給付費／療養費／計","3542636698","3546826107","4110440","78969","0"
"保険給付費／療養費／現年度分（再掲）","3542636698","3546826107","4110440","78969","0"
"保険給付費／高額療養費","30440536045","30459191413","17216707","1438661","0"
"保険給付費／高額介護合算療養費","22110287","22278253","167966","0","0"
"保険給付費／移送費","583303","583303","0","0","0"
"保険給付費／その他の保険給付費","2477758806","2482454629","6769193","1662174","3735544"
"後期高齢者支援金","60451716409","60451716409","","","0"
"前期高齢者納付金","37514012","37514012","","","0"
"老人保健医療費拠出金","0","0","","","0"
"介護納付金","23584239691","23584239691","","","0"
