"名称","開設時間","休館日","電話番号","FAX番号","住所","緯度","経度","座標系"
"千代田区児童・家庭支援センター","午前9時から午後5時","日曜日・祝日・年末年始","03-3256-8150","03-3256-8150","千代田区神田司町二丁目16番神田さくら館6階","35.693047","139.768494","JGD2011"
"中央区立子ども家庭支援センター","午前9時から午後6時（相談受付時間午前9時から午後5時)","祝日・年末年始","03-3534-2255(虐待情報専用03-3534-2228)","03-3534-2224","中央区勝どき一丁目4番1号（3階）","35.660519","139.777359","JGD2011"
"港区子ども家庭支援センター","午前9時から午後5時、火曜日・木曜日は午後7時まで","日曜日・祝日・年末年始","03-6400-0090(虐待相談専用ダイヤル03-6400-0092)","03-3455-4539","港区三田一丁目4番10号みなと保健所2階","35.653156","139.742737","JGD2011"
"新宿区立子ども総合センター","午前8時30分から午後7時、日曜日・祝日（電話相談のみ）午前8時30分から午後5時","年末年始","03-3232-0675","03-3232-0666","新宿区新宿七丁目3番29号","35.701225","139.712662","JGD2011"
"文京区子ども家庭支援センター","午前9時から午後5時","土曜日・日曜日・祝日・年末年始","03-5803-1109","03-5803-1345","文京区春日一丁目16番21号シビックセンター5階","35.708336","139.752411","JGD2011"
"台東区日本堤子ども家庭支援センター","午前9時から午後5時（ひろばは午前10時から午後4時）","日曜日・祝日・年末年始","03-5824-2571(虐待相談専用03-3875-1889)","03-3873-2617","台東区日本堤二丁目25番8号","35.728050","139.797028","JGD2011"
"墨田区子育て支援総合センター","午前9時から午後6時","土曜日･日曜日・祝日･年末年始（施設貸し出しは年末年始のみ）","03-5630-6351（相談専用電話03-5630-6677）","03-5630-6352","墨田区京島一丁目35番9の103号マーク・ゼロワン曳舟タワー棟（1階）","35.717171","139.819809","JGD2011"
"江東区南砂子ども家庭支援センター","午前9時から午後6時（相談受付時間午前9時から午後5時30分)","日曜日・祝日（こどもの日は開館）・年末年始","03-5617-7772(虐待ホットライン03-3646-5481)","03-5617-7773","江東区南砂三丁目14番1の101号","35.668919","139.831238","JGD2011"
"品川区子ども家庭支援センター","午前8時30分から午後5時","土曜日・日曜日・祝日・年末年始","03-6421-5236","03-6421-5238","品川区二葉1－7－15","35.608780","139.728806","JGD2011"
"目黒区子ども家庭支援センター","午前8時30分から午後5時（月曜日から土曜日）／虐待通告窓口は午前8時30分から午後5時15分（月曜日から金曜日）","日曜日・祝日・年末年始","03-3715-2641(虐待通告専用（月曜日から金曜日）03-5722-9743)","03-3715-7604","目黒区上目黒二丁目19番15号目黒区総合庁舎別館2階","35.640465","139.698700","JGD2011"
"大田区子ども家庭支援センター","月曜日から金曜日は午前9時から午後6時（虐待通報は午前9時30分から午後6時）／土曜日は午前10時から午後6時","日曜日・祝日・年末年始","03-5753-7830(虐待通報専用（月曜日から金曜日）03-5753-9924)","03-3763-0199","大田区大森北四丁目16番5号","35.583511","139.727280","JGD2011"
"世田谷区子ども家庭支援センター（せたがや子ども家庭支援センター）","午前8時30分から午後5時","土曜日・日曜日・祝日・年末年始","03-5432-2915","03-5432-3034","世田谷区世田谷四丁目22番33号世田谷区役所第三庁舎","35.646301","139.652374","JGD2011"
"渋谷区子ども家庭支援センター","午前8時30分から午後5時15分","土曜日・日曜日・祝日・年末年始","0120-135-415","","渋谷区渋谷1丁目18番21号","35.661461","139.703949","JGD2011"
"中野区子ども家庭支援センター","午前8時30分から午後5時","土曜日・日曜日・祝日・年末年始","03-3228-7867","03-3228-7870","中野区新井1－9－1","35.710068","139.666290","JGD2011"
"杉並子ども家庭支援センター","午前8時30分から午後7時","日曜日・祝日・年末年始","03-5929-1901","03-5929-1903","杉並区阿佐谷南一丁目14番8号","35.699722","139.636902","JGD2011"
"豊島区東部子ども家庭支援センター","午前9時から午後6時、土曜日・日曜日は午後5時まで","祝日・年末年始","03-5980-5275（子ども専用0120-618-471）","","豊島区上池袋二丁目35番22号","35.737057","139.718262","JGD2011"
"北区子ども家庭支援センター","午前9時から午後5時30分","祝日・年末年始","03-3914-9565（虐待相談専用（月曜日から金曜日）03-3912-1894）","03-6903-0519","北区王子6丁目7番3号旧清至中学校別棟","35.762653","139.740387","JGD2011"
"荒川区子ども家庭総合センター","午前8時30分から午後5時15分","土曜日・日曜日・祝日・年末年始","03-3802-3765（あらかわキッズ・マザーズコール24 0120-536-883）","03-3802-3787","荒川区荒川1丁目50番17号","35.734066","139.784592","JGD2011"
"板橋区子ども家庭支援センター","午前9時から午後5時（来所面接相談は要予約）","日曜日・祝日・年末年始","03-3579-2656（虐待相談専用03-3579-2658）","03-3579-2659","板橋区栄町36番1号板橋区立グリーンホール7階","35.750931","139.705063","JGD2011"
"練馬区練馬子ども家庭支援センター","午前8時30分から午後7時、土曜日は午後5時まで","日曜日・祝日・年末年始","03-3993-8155（虐待相談専用フリーダイヤル0120-248-551または、03-3993-2066）","03-3993-8215","練馬区豊玉北5丁目28番3号","35.734859","139.653244","JGD2011"
"足立区こども家庭支援センターげんき","午前8時30分から午後5時","日曜日・祝日・年末年始","03-3852-3535","03-3889-3400","足立区梅島3-28-8","35.775742","139.792709","JGD2011"
"葛飾区子ども総合センター","午前8時30分から午後5時","日曜日・祝日・年末年始","03-3602-1386（虐待通報相談専用03-3602-1389）","03-3602-1392","葛飾区青戸四丁目15番14号健康プラザかつしか2階","35.751595","139.850891","JGD2011"
"江戸川区児童相談所相談課総合相談係","午前8時30分から午後5時","日曜日・祝日・年末年始","03-5678-1810","03-6231-4378","江戸川区中央3丁目4番18号","35.710094","139.871796","JGD2011"
