"","総数","給食の原材料を記入した献立表を事前に配布している／施設数","給食の原材料を記入した献立表を事前に配布している／割合","一部のおかずのみ弁当を持参してもらっている／施設数","一部のおかずのみ弁当を持参してもらっている／割合","完全除去食（原因物質を除いた食事）を提供している／施設数","完全除去食（原因物質を除いた食事）を提供している／割合","段階的除去食を提供している／施設数","段階的除去食を提供している／割合","代替食を提供している／施設数","代替食を提供している／割合","給食を提供せず、家庭から弁当を持参してもらっている／施設数","給食を提供せず、家庭から弁当を持参してもらっている／割合","その他／施設数","その他／割合","無回答／施設数","無回答／割合"
"認可保育所＊","1554","93","6.0","11","0.7","317","20.4","93","6.0","299","19.2","1","0.1","10","0.6","744","47.9"
"認証保育所＊","512","27","5.3","4","0.8","139","27.1","35","6.8","74","14.5","1","0.2","2","0.4","234","45.7"
"認定こども園＊","93","6","6.5","1","1.1","19","20.4","8","8.6","15","16.1","4","4.3","","","45","48.4"
"幼稚園＊","373","45","12.1","9","2.4","41","11.0","12","3.2","32","8.6","26","7.0","3","0.8","207","55.5"
"ベビーホテル","224","10","4.5","1","0.4","31","13.8","9","4.0","21","9.4","18","8.0","","","137","61.2"
"家庭的保育","104","","","","","12","11.5","2","1.9","11","10.6","4","3.8","","","75","72.1"
"学童保育","118","","","","","13","11.0","","","22","18.6","8","6.8","","","75","63.6"
"上記以外の施設","231","4","1.7","5","2.2","32","13.9","10","4.3","29","12.6","22","9.5","","","131","56.7"
"総数","3209","185","5.8","31","1.0","604","18.8","169","5.3","503","15.7","84","2.6","15","0.5","1648","51.4"
"＊前回調査施設 (再掲）","2532","171","6.8","25","1.0","516","20.4","148","5.8","420","16.6","32","1.3","15","0.6","1230","48.6" 
