"No","性別","年齢","保育士資格の取得方法","問22から　主に「理想とする保育」について抜粋"
"1","女性","20～24歳","短期大学の保育士養成課程","理想とする保育は、保育士、保護者、地域が一体となって子どもの成長を見守り支えていくことです。子どもの置かれている家庭環境の多様化を感じるので、子どもにとってのびのびと子どもらしく育てる場所を作っていけたらと思います。"
"2","女性","20～24歳","短期大学の保育士養成課程","理想とする保育は、現代の子どもに欠けている「協調性」を育くんでいく為に個を受容する保育だと考えます。自園でもこの目標で進めていますが、全職員に周知されていない難しさもある為、深めていく必要があると感じます。"
"3","女性","25～29歳","大学の保育士養成課程","私の理想とする保育は、子どもたちのチカラを最大限引き伸ばし、楽しく発達をサポート出来るものです。そのためには保育士が、ずっと学び続けなくてはなりません。お金のことや、大人同士の人間関係などによって、そうした意欲が失われないでいたいと思います。子どもたちのことを保育士や、親だけでなく、社会がその重要性に気付き、共に育てられる様子は理想です。"
"4","女性","25～29歳","大学の保育士養成課程","理想とする保育は「子どもの気持ちによりそい、保護者と子どもの成長を喜びながら、一緒に子育てについて考えていく姿勢を忘れない保育であり「子ども、保護者、同僚から信頼される保育者になること」が私の夢です。保育士として働くことへの不安として「職場内の人間関係」があげられます。（以前の職場で苦労したので）"
"5","女性","30～34歳","通信教育等で学んだ後、保育士試験","理想とする保育はただ見守り、注意するだけではなく、子供の成長を最大限援助していく保育。各子供の気持ちを理解し、この保育園（先生）でよかったと心から思ってもらえる、温かさを備える事。"
"6","女性","40～44歳","専門（専修）学校の保育士養成課程","理想とする保育として、常に保育士側も勉強し、昔に習った知識だけを頼りにするのではなく現在の最新の情報を学べるような機会を増やせたら良いと思う。"
"7","女性","40～44歳","通信教育等で学んだ後、保育士試験","理想とする保育は、子どもの心に寄り添い、その上高めてあげることができる保育。子どもが安心して心を預けてくれる保育士。"
"8","女性","45～49歳","専門（専修）学校の保育士養成課程","理想とする保育は保護者との信頼関係を築き子どもを自由に遊ばせ怪我やけんか。を気にせず自由な保育をし充分子ども達の体を動して体力をつけて行くことを行うことです。"
"9","女性","45～49歳","短期大学の保育士養成課程","理想とする保育としては今の会社の保育理念を十分に生かせることだと思います。子どもの将来を見据えて、自主性のある子に育つような保育をこれからもしていきたいです。行政には保護者（クレームが多い方）の側に立つのではなく、何が子どもの発達に必要か、見きわめた対応をお願いしたい。"
"10","女性","50～54歳","通信教育等で学んだ後、保育士試験","理想とする保育は、家事と人間の基本的な営みととらえ、家庭では電化されて見えなくなっているところを子どもが体験できる。保育所がそのような場となればよいなと思っている。"
