"区分","あんま・はり師等(人)","事務(人)","販売(人)","農林・漁業(人)","通信(人)","技能工等(人)","サービス職業(人)","その他(人)",
"視覚障害/本科/平成27年度","1","0","0","0","0","0","0","1",
"視覚障害/本科/平成26年度","0","0","0","0","0","0","2","1",
"視覚障害/専攻科/平成27年度","6","0","0","0","0","0","0","0",
"視覚障害/専攻科/平成26年度","3","1","0","0","0","0","0","0",
"聴覚障害/本科/平成27年度","0","7","0","0","0","5","4","0",
"聴覚障害/本科/平成26年度","0","3","0","0","0","2","2","0",
"聴覚障害/専攻科/平成27年度","0","4","0","0","0","5","5","0",
"聴覚障害/専攻科/平成26年度","0","8","0","0","0","6","4","0",
"肢体不自由/平成27年度","0","4","0","0","0","0","0","0",
"肢体不自由/平成26年度","0","6","0","0","0","0","0","0",
"知的障害/平成27年度","5","205","67","0","0","34","307","84",
"知的障害/平成26年度","0","163","75","2","20","24","359","13",
"病弱/平成27年度","0","0","0","0","0","0","0","0",
"病弱/平成26年度","0","0","0","0","0","0","1","0",
"合計/平成27年度","12","220","67","0","0","44","316","85",
"合計/平成26年度","3","181","75","2","20","32","368","14",
