"","なし","排気あり","排気なし"
"対象者数","2181","254","1593"
"持続性せき","115","20","119"
"%","5.27","7.87","7.47"
"持続性たん","230","38","194"
"%","10.55","14.96","12.18"
"持続性せきたん","65","10","67"
"%","2.98","3.94","4.21"
"ぜんそく様症状現在","47","3","37"
"%","2.15","1.18","2.32"
"ぜんそく様症状寛解","52","5","36"
"%","2.38","1.97","2.26"
"ぜん鳴症状","59","13","61"
"%","2.71","5.12","3.83"
"慢性気管支炎","66","12","57"
"%","3.03","4.72","3.58"
"肺気腫","43","4","34"
"%","1.97","1.57","2.13"
"じんましん","231","20","148"
"%","10.59","7.87","9.29"
"アトピー性皮膚炎","92","6","52"
"%","4.22","2.36","3.26"
"アレルギー性鼻炎","407","33","297"
"%","18.66","12.99","18.64"
"アレルギー性結膜炎","66","1","47"
"%","3.03","0.39","2.95"
"花粉症","649","74","473"
"%","29.76","29.13","29.69"
"食物アレルギー","59","5","40"
"%","2.71","1.97","2.51"
