"","木枠","木造アルミ","鉄筋一戸","木造集合","鉄筋集合"
"対象者数","161","1603","339","245","1799"
"持続性せき","11","104","22","27","99"
"%","6.83","6.49","6.49","11.02","5.5"
"持続性たん","16","191","36","40","197"
"%","9.94","11.92","10.62","16.33","10.95"
"持続性せきたん","4","64","12","15","57"
"%","2.48","3.99","3.54","6.12","3.17"
"ぜんそく様症状現在","4","41","8","7","32"
"%","2.48","2.56","2.36","2.86","1.78"
"ぜんそく様症状寛解","6","36","10","1","39"
"%","3.73","2.25","2.95","0.41","2.17"
"ぜん鳴症状","4","53","10","7","61"
"%","2.48","3.31","2.95","2.86","3.39"
"慢性気管支炎","9","60","10","9","54"
"%","5.59","3.74","2.95","3.67","3"
"肺気腫","4","25","3","9","43"
"%","2.48","1.56","0.88","3.67","2.39"
"じんましん","11","170","26","22","177"
"%","6.83","10.61","7.67","8.98","9.84"
"アトピー性皮膚炎","6","49","16","4","76"
"%","3.73","3.06","4.72","1.63","4.22"
"アレルギー性鼻炎","26","311","66","24","319"
"%","16.15","19.4","19.47","9.8","17.73"
"アレルギー性結膜炎","7","36","10","3","61"
"%","4.35","2.25","2.95","1.22","3.39"
"花粉症","38","481","113","50","531"
"%","23.6","30.01","33.33","20.41","29.52"
"食物アレルギー","5","42","8","4","47"
"%","3.11","2.62","2.36","1.63","2.61"
