"No","性別","年齢","保育士資格の取得方法","問20　希望する研修の主な意見（記入者計572人）"
"1","女性","20～24歳","専門（専修）学校の保育士養成課程","日々の保育の中で使える遊びや工作や手あそびなどのバリエーションなどを習得したい  子連れでも参加できる研修だとうれしい（キッズスペースや託児スペースがあったり…）"
"2","女性","20～24歳","短期大学の保育士養成課程","保育の現場から離れてしまい、もう一度現場復帰を考えている人にも分かりやすい様な資料があり、すぐに現場に入れる様な知識や技術を習得出来る様な研修を希望しています。（特に年間、月間、週間etcの案の書き方の研修を行って欲しいです。）"
"3","女性","20～24歳","短期大学の保育士養成課程","家庭をもった人（パート等を希望）が受けやすく（時間などで）今後両立できそう、と思える内容を希望します。（仕事内容、時間形態…etc）"
"4","女性","20～24歳","短期大学の保育士養成課程","パソコンの操作については、個人的に子どもの記録等をデータとして残したり、名簿等も自分で作れる様になりたいので、この様な研修があると、今後活かせると思いました。"
"5","女性","20～24歳","通信教育等で学んだ後、保育士試験","実際に保育現場で働く講師を招いての実技指導（運動あそび、手あそび、製作あそび等）"
"6","女性","25～29歳","専門（専修）学校の保育士養成課程","保育所協賛で、研修後に就職へと結びつくようなもの。各自治体単位で、定員を設けた少人数制のものが臨ましい。"
"7","女性","25～29歳","専門（専修）学校の保育士養成課程","今は、PDDの児童が多く、そういった児童に対する対応の仕方や、集団の中での保育の仕方など学びたい。（どうしても、クラス内のトラブルが増えてしまったり、その子に時間をついやすことが多くなってしまう。また、親が認識していない為、通常の児童と同じになるため、職員も特に増えたりしないので、一人でクラスをまとめていかなければならなくなる。）。様々な保護者がいる。どの様に接っしたらよいか学びたい。（実際、それが原因で辞めた同僚が沢山いるため）"
"8","女性","25～29歳","短期大学の保育士養成課程","食物アレルギーのお子さまに対する明確なマニュアルが必要。現存の研修では、内容が不充分。もう少し具体的な知識がほしかった。"
"9","女性","25～29歳","大学の保育士養成課程","年長の方へ若輩である自分が指導することは気まずさがあり難しかったので、慨ね45歳以上のパートの方を対象とした研修を開催していただき、現在の保育や保護者対応の基本などを伝えていただきたいと感じました。"
"10","女性","25～29歳","大学の保育士養成課程","子供の命にかかわる事、特に救命救急や食に関する知識（アレルギーなど）を身に付けたいです。"
"11","女性","25～29歳","通信教育等で学んだ後、保育士試験","アレルギーのある子供の食事の介助が給食室の方や担任とスムーズに安全に連携して行うための研修（以前働いていた保育園がアレルギーを持った子供が多く、その対応に追われる時間が長かったため、もう少しマニュアルの様なものがあっても良いかと感じた）"
