"変数名","オッズ比","９５％信頼区間／下限","９５％信頼区間／上限","９９％信頼区間／下限","９９％信頼区間／上限","p値"
"1)Brinkman Index","1.000","1.000","1.001","1.000","1.001","0.00008"
"2)地域","","","","","","0.00000"
"2)地域／多摩南部","1.000","","","","",""
"2)地域／区東部","1.027","0.844","1.248","0.794","1.327",""
"2)地域／区北部","0.801","0.667","0.961","0.630","1.017",""
"2)地域／区西部","0.708","0.600","0.834","0.570","0.878",""
"2)地域／区南部","0.920","0.774","1.093","0.734","1.153",""
"2)地域／多摩北部","1.063","0.869","1.300","0.816","1.385",""
"2)地域／多摩中部","1.052","0.868","1.274","0.817","1.354",""
"2)地域／多摩西部","0.698","0.527","0.924","0.482","1.010",""
"3)性別","","","","","","0.09243"
"3)性別／男","1.000","","","","",""
"3)性別／女","1.090","0.986","1.206","0.955","1.245",""
"4)喫煙状況","","","","","","0.62568"
"4)喫煙状況／非喫煙","1.000","","","","",""
"4)喫煙状況／現喫煙・前喫煙","1.028","0.920","1.149","0.888","1.190",""
"5)アレルゲン検査－ハウスダスト","","","","","","0.47828"
"5)アレルゲン検査－ハウスダスト／陰性","1.000","","","","",""
"5)アレルゲン検査－ハウスダスト／陽性・疑陽性","1.160","0.770","1.748","0.677","1.988",""
"6)アレルゲン検査－ダニ","","","","","","0.07590"
"6)アレルゲン検査－ダニ／陰性","1.000","","","","",""
"6)アレルゲン検査－ダニ／陽性・疑陽性","0.690","0.457","1.039","0.402","1.183",""
"7)主要幹線道路からの距離","","","","","","0.07157"
"7)主要幹線道路からの距離／200m以上","1.000","","","","",""
"7)主要幹線道路からの距離／50m未満","1.107","0.987","1.242","0.952","1.288",""
"7)主要幹線道路からの距離／50-100m未満","1.098","0.967","1.247","0.929","1.298",""
"7)主要幹線道路からの距離／100-150m未満","0.917","0.796","1.055","0.762","1.103",""
"7)主要幹線道路からの距離／150-200m未満","0.972","0.844","1.118","0.807","1.169",""
"8)住宅構造","","","","","","0.02491"
"8)住宅構造／木造","1.000","","","","",""
"8)住宅構造／鉄筋・鉄骨","1.105","1.013","1.207","0.985","1.240",""
"9)居間・寝室のカビ","","","","","","0.63199"
"9)居間・寝室のカビ／なし","1.000","","","","",""
"9)居間・寝室のカビ／あり","1.030","0.911","1.165","0.877","1.211",""
"10)暖房形態","","","","","","0.38501"
"10)暖房形態／クリ－ン型","1.000","","","","",""
"10)暖房形態／ダ－ティ型","0.961","0.880","1.051","0.856","1.080",""
"11)調理器具の熱源","","","","","","0.61679"
"11)調理器具の熱源／電気","1.000","","","","",""
"11)調理器具の熱源／ガス","0.961","0.822","1.124","0.782","1.180",""
"12)居間・寝室のカーペット使用","","","","","","0.54673"
"12)居間・寝室のカーペット使用／なし","1.000","","","","",""
"12)居間・寝室のカーペット使用／あり","0.973","0.892","1.062","0.868","1.092",""
"13)ペットの室内飼育","","","","","","0.50019"
"13)ペットの室内飼育／なし","1.000","","","","",""
"13)ペットの室内飼育／あり","0.967","0.878","1.065","0.852","1.098",""
"14)定期的な掃除機による布団掃除","","","","","","0.01942"
"14)定期的な掃除機による布団掃除／あり","1.000","","","","",""
"14)定期的な掃除機による布団掃除／なし","0.902","0.828","0.984","0.805","1.011",""
"15)粉塵職場の経験","","","","","","0.64751"
"15)粉塵職場の経験／なし","1.000","","","","",""
"15)粉塵職場の経験／あり","0.954","0.779","1.168","0.732","1.244",""
"16)家庭内受動喫煙","","","","","","0.50150"
"16)家庭内受動喫煙／なし","1.000","","","","",""
"16)家庭内受動喫煙／あり","0.961","0.855","1.080","0.824","1.120",""
"17)職場での受動喫煙","","","","","","0.91169"
"17)職場での受動喫煙／なし","1.000","","","","",""
"17)職場での受動喫煙／あり","0.995","0.913","1.084","0.889","1.114",""
