"種別","名称","郵便番号","所在地","緯度","経度","座標系","電話番号"
"老人福祉センターA","東品川シルバーセンター","140-0002","品川区東品川3-32-10","35.614883","139.750732","JGD2011","03-3472-2944"
"老人福祉センターB","北品川シルバーセンター","140-0001","品川区北品川1-29-12","35.620785","139.741760","JGD2011","03-3471-6507"
"老人福祉センターB","上大崎シルバーセンター","141-0021","品川区上大崎1-3-12","35.634995","139.721954","JGD2011","03-3449-1750"
"老人福祉センターB","南大井シルバーセンター","140-0013","品川区南大井3-7-13","35.591721","139.734299","JGD2011","03-3761-6540"
"老人福祉センターB","ゆたかシルバーセンター","142-0042","品川区豊町3-2-15","35.608330","139.719696","JGD2011","03-3781-5424"
"老人福祉センターB","旗の台シルバーセンター","142-0064","品川区旗の台4-13-1","35.601551","139.704193","JGD2011","03-3783-7479"
"老人福祉センターB","小山シルバーセンター","142-0062","品川区小山5-17-18","35.615078","139.701370","JGD2011","03-3785-6420"
"老人福祉センターB","関ヶ原シルバーセンター","140-0011","品川区東大井6-11-11","35.602215","139.736298","JGD2011","03-3765-7022"
"老人福祉センターB","後地シルバーセンター","142-0062","品川区小山2-9-19","35.621216","139.709305","JGD2011","03-3781-6506"
"老人福祉センターB","西大井いきいきセンター","140-0015","品川区西大井2-5-21","35.599255","139.722626","JGD2011","03-5718-1330"
