"上段：度数／下段：%","n=","保育実技","救命救急","安全管理","衛生管理","発達心理学","保育所保育指針","食に関する指導","特別な支援を必要とする子供への接し方","幼稚園教諭免許取得のための学習","地域の子育て支援","保護者との対応の仕方","同僚とのコミュニケーション","パソコン操作","その他","特に欲しいと思うことはない","無回答"
"ＴＯＴＡＬ","8214","5044","3678","2931","2049","3998","938","2561","5006","512","1398","4199","1053","2237","132","122","130"
"ＴＯＴＡＬ","100","61.4","44.8","35.7","24.9","48.7","11.4","31.2","60.9","6.2","17.0","51.1","12.8","27.2","1.6","1.5","1.6"
"性別・年代／女性計","7526","4633","3399","2664","1875","3681","829","2370","4626","469","1250","3858","927","2054","116","107","113"
"性別・年代／女性計","100","61.6","45.2","35.4","24.9","48.9","11.0","31.5","61.5","6.2","16.6","51.3","12.3","27.3","1.5","1.4","1.5"
"性別・年代／女性２０代","3297","2529","1517","1295","858","1688","403","1162","2037","154","579","2245","540","847","46","28","21"
"性別・年代／女性２０代","100","76.7","46.0","39.3","26.0","51.2","12.2","35.2","61.8","4.7","17.6","68.1","16.4","25.7","1.4","0.8","0.6"
"性別・年代／女性３０代","1612","951","756","565","440","803","206","557","1060","155","298","810","184","506","26","8","25"
"性別・年代／女性３０代","100","59.0","46.9","35.0","27.3","49.8","12.8","34.6","65.8","9.6","18.5","50.2","11.4","31.4","1.6","0.5","1.6"
"性別・年代／女性４０代","1560","750","721","502","373","767","146","421","936","121","229","526","130","425","26","34","26"
"性別・年代／女性４０代","100","48.1","46.2","32.2","23.9","49.2","9.4","27.0","60.0","7.8","14.7","33.7","8.3","27.2","1.7","2.2","1.7"
"性別・年代／女性５０代以上","1005","375","386","286","195","399","70","215","561","36","139","257","70","263","18","35","40"
"性別・年代／女性５０代以上","100","37.3","38.4","28.5","19.4","39.7","7.0","21.4","55.8","3.6","13.8","25.6","7.0","26.2","1.8","3.5","4.0"
"性別・年代／男性計","380","259","159","164","106","184","78","112","209","29","107","221","86","103","13","3","7"
"性別・年代／男性計","100","68.2","41.8","43.2","27.9","48.4","20.5","29.5","55.0","7.6","28.2","58.2","22.6","27.1","3.4","0.8","1.8"
"性別・年代／男性２０代","281","201","123","131","86","141","60","89","154","17","77","172","61","81","9","2","6"
"性別・年代／男性２０代","100","71.5","43.8","46.6","30.6","50.2","21.4","31.7","54.8","6.0","27.4","61.2","21.7","28.8","3.2","0.7","2.1"
"性別・年代／男性３０代以上","99","58","36","33","20","43","18","23","55","12","30","49","25","22","4","1","1"
"性別・年代／男性３０代以上","100","58.6","36.4","33.3","20.2","43.4","18.2","23.2","55.6","12.1","30.3","49.5","25.3","22.2","4.0","1.0","1.0"
"性別・年代／無回答","308","152","120","103","68","133","31","79","171","14","41","120","40","80","3","12","10"
"性別・年代／無回答","100","49.4","39.0","33.4","22.1","43.2","10.1","25.6","55.5","4.5","13.3","39.0","13.0","26.0","1.0","3.9","3.2"
