"","合計","身体的虐待","心理的虐待","性的虐待","経済的虐待","介護・世話の放棄・放任","無回答"
"担当ケアマネジャー(回答数)","1991","996","1267","25","445","1044","7"
"担当ケアマネジャー(%)","100.0","50.0","63.6","1.3","22.4","52.4","0.4"
"居宅介護支援(回答数)","1365","634","891","20","305","725","8"
"居宅介護支援(%)","100.0","46.4","65.3","1.5","22.3","53.1","0.6"
"地域型在宅介護支援センター(回答数)","1117","578","668","16","300","581","1"
"地域型在宅介護支援センター(%)","100.0","51.7","59.8","1.4","26.9","52.0","0.1"
"基幹型在宅介護支援センター(回答数)","532","289","306","3","177","262","0"
"基幹型在宅介護支援センター(%)","100.0","54.3","57.5","0.6","33.3","49.2","0.0"
"訪問介護(回答数)","307","143","201","4","84","140","5"
"訪問介護(%)","100.0","46.6","65.5","1.3","27.4","45.6","1.6"
"訪問看護(回答数)","336","181","226","6","47","180","1"
"訪問看護(%)","100.0","53.9","67.3","1.8","14.0","53.6","0.3"
"通所介護(回答数)","512","272","331","6","101","245","1"
"通所介護(%)","100.0","53.1","64.6","1.2","19.7","47.9","0.2"
"病院(回答数)","55","34","33","1","16","21","1"
"病院(%)","100.0","61.8","60.0","1.8","29.1","38.2","1.8"
"老人保健施設(回答数)","227","133","115","1","43","111","0"
"老人保健施設(%)","100.0","58.6","50.7","0.4","18.9","48.9","0.0"
"都道府県保健所(回答数)","37","27","26","1","10","17","0"
"都道府県保健所(%)","100.0","73.0","70.3","2.7","27.0","45.9","0.0"
"政令、中核、特別区保健所(回答数)","124","70","70","3","44","65","0"
"政令、中核、特別区保健所(%)","100.0","56.5","56.5","2.4","35.5","52.4","0.0"
"市町村保健センター(回答数)","265","152","157","1","91","142","0"
"市町村保健センター(%)","100.0","57.4","59.2","0.4","34.3","53.6","0.0"
