"","支払義務額(円)","支払済額(円)","徴収金等(円)","戻入未済額(円)","未払額(円)"
"保険給付費／療養給付費／計","942814571134","944589315840","1633506733","141237973","0"
"保険給付費／療養給付費／現年度分（再掲）","942814571134","944589315840","1633506733","141237973","0"
"保険給付費／療養費／計","18028179333","18053739470","24428712","1131425","0"
"保険給付費／療養費／現年度分（再掲）","18028179333","18053739470","24428712","1131425","0"
"保険給付費／高額療養費","112622322531","112733583889","100695776","10565582","0"
"保険給付費／高額介護合算療養費","84108699","84377969","269270","0","0"
"保険給付費／移送費","2011236","2011236","0","0","0"
"保険給付費／その他の保険給付費","19763919129","19800893271","61042318","9019681","33087857"
"後期高齢者支援金","260729809329","260729809329","","","0"
"前期高齢者納付金","26643668034","26643668034","","","0"
"老人保健医療費拠出金","12658","12658","","","0"
"介護納付金","109706321854","109706321854","","","0"
