"名称","相談・申請の内容","受付時間","所管課・係","電話番号（直通）"
"屋外広告物の許可","東京都屋外広告物条例に基づく広告板・塔等の許可申請に係る相談及び西多摩地域（日の出町・奥多摩町・檜原村）、車体利用広告等に係る申請受付、違反広告物の規制等に関する相談","9時00分～12時00分／13時00分～17時00分","管理課／調査係","042-548-2029"
"建築協定の認可","建築基準法に基づく建築協定の認可に係る建築物等の制限内容、協定運営の方法、その他の相談・申請の受付","9時00分～12時00分／13時00分～17時00分","管理課／調査係","042-548-2029"
"特殊建築物等の定期報告","建築基準法に基づく特殊建築物等、建築設備、昇降機等の定期報告に係る審査、指導及び相談","9時00分～12時00分／13時00分～17時00分","管理課／調査係","042-548-2029"
"開発行為の許可","都市計画法に基づく開発行為の許可、それに係る道路、予定建築物等の用途、公園、その他の基準等の相談・申請の受付、開発行為の違反取締相談","9時00分～12時00分／13時00分～17時00分","開発指導第一課／開発第一係・第ニ係","042-548-2040、2041"
"開発行為の許可","都市計画法に基づく開発行為の許可、それに係る道路、予定建築物等の用途、公園、その他の基準等の相談・申請の受付、開発行為の違反取締相談","9時00分～12時00分／13時00分～17時00分","開発指導第二課／開発第一係・第ニ係","042-364-2387、2388"
"開発登録簿の閲覧及び写しの交付","都市計画法に基づく開発登録簿の閲覧、写しの交付","9時00分～12時00分／13時00分～17時00分","開発指導第一課／事務係","042-548-2037"
"開発登録簿の閲覧及び写しの交付","都市計画法に基づく開発登録簿の閲覧、写しの交付","9時00分～12時00分／13時00分～17時00分","開発指導第二課／事務係","042-364-2386"
"宅地造成工事の許可","宅地造成等規制法に基づく宅地造成工事の許可に係る切土、盛土、擁壁、その他の技術的基準等の相談・申請の受付、宅地造成違反の取締相談","9時00分～12時00分／13時00分～17時00分","開発指導第一課／開発第一係・第ニ係","042-548-2040、2041"
"宅地造成工事の許可","宅地造成等規制法に基づく宅地造成工事の許可に係る切土、盛土、擁壁、その他の技術的基準等の相談・申請の受付、宅地造成違反の取締相談","9時00分～12時00分／13時00分～17時00分","開発指導第二課／開発第一係・第ニ係","042-364-2387、2388"
"道路位置の指定","建築基準法に基づく道路位置の指定、変更又は取消しに係る相談、受付","9時00分～12時00分／13時00分～17時00分","開発指導第一課／開発第一係・第ニ係","042-548-2040、2041"
"道路位置の指定","建築基準法に基づく道路位置の指定、変更又は取消しに係る相談、受付","9時00分～12時00分／13時00分～17時00分","開発指導第二課／開発第一係・第ニ係","042-364-2387、2388"
"道路位置の指定","建築基準法に基づく道路の指定、私道の廃止制度等に係る相談、受付（開発指導第一課・二課に属するものを除く）","9時00分～12時00分／13時00分～17時00分","建築指導第一課／指導第一係・第ニ係","042-548-2058、2059"
"道路位置の指定","建築基準法に基づく道路の指定、私道の廃止制度等に係る相談、受付（開発指導第一課・二課に属するものを除く）","9時00分～12時00分／13時00分～17時00分","建築指導第二課／指導第一係・第ニ係","042-464-0009、0010"
"道路位置の指定","建築基準法に基づく道路の指定、私道の廃止制度等に係る相談、受付（開発指導第一課・二課に属するものを除く）","9時00分～12時00分／13時00分～17時00分","建築指導第三課／指導第一係・第ニ係","0428-23-3692、3735"
"道路位置指定図の閲覧及び写しの交付","建築基準法に基づく道路位置指定図の閲覧及び写しの交付","9時00分～12時00分／13時00分～17時00分","開発指導第一課／事務係","042-548-2037"
"道路位置指定図の閲覧及び写しの交付","建築基準法に基づく道路位置指定図の閲覧及び写しの交付","9時00分～12時00分／13時00分～17時00分","開発指導第二課／事務係","042-364-2386"
"建築確認等の申請","建築基準法に基づく建築確認、許可、仮使用承認、認定等に係る申請の受付","9時00分～12時00分／13時00分～17時00分","建築指導第一課／指導第一係・第ニ係","042-548-2058、2059"
"建築確認等の申請","建築基準法に基づく建築確認、許可、仮使用承認、認定等に係る申請の受付","9時00分～12時00分／13時00分～17時00分","建築指導第二課／指導第一係・第ニ係","042-464-0009、0010"
"建築確認等の申請","建築基準法に基づく建築確認、許可、仮使用承認、認定等に係る申請の受付","9時00分～12時00分／13時00分～17時00分","建築指導第三課／指導第一係・第ニ係","0428-23-3692、3735"
"建築計画概要書の閲覧","建築基準法に基づく建築計画概要書の閲覧（平成11年5月1日以降のもの）","9時00分～12時00分／13時00分～17時00分","建築指導第一課／事務係","042-548-2044"
"建築計画概要書の閲覧","建築基準法に基づく建築計画概要書の閲覧（平成11年5月1日以降のもの）","9時00分～12時00分／13時00分～17時00分","建築指導第二課／事務係","042-464-2154"
"建築計画概要書の閲覧","建築基準法に基づく建築計画概要書の閲覧（平成11年5月1日以降のもの）","9時00分～12時00分／13時00分～17時00分","建築指導第三課／事務係","0428-23-3423"
"台帳記載事項証明書の発行","建築基準法に基づく台帳の記載事項証明書の発行","9時00分～12時00分／13時00分～17時00分","建築指導第一課／事務係","042-548-2044"
