"","問６ あなたの周辺に､次に示すような運動ができる場所はありますか｡それぞれの項目について､あてはまる番号を1つ選んで○印をつけて下さい｡※周辺とは、自宅から徒歩、自転車､車でそれぞれ10分以内程度､あるいは通勤一通学路上にあって気軽に行けることを意味するものとします。（1ある ２ない ３わからない）／ア 運動が行える公園／合計","問６ あなたの周辺に､次に示すような運動ができる場所はありますか｡それぞれの項目について､あてはまる番号を1つ選んで○印をつけて下さい｡※周辺とは、自宅から徒歩、自転車､車でそれぞれ10分以内程度､あるいは通勤一通学路上にあって気軽に行けることを意味するものとします。（1ある ２ない ３わからない）／ア 運動が行える公園／1","問６ あなたの周辺に､次に示すような運動ができる場所はありますか｡それぞれの項目について､あてはまる番号を1つ選んで○印をつけて下さい｡※周辺とは、自宅から徒歩、自転車､車でそれぞれ10分以内程度､あるいは通勤一通学路上にあって気軽に行けることを意味するものとします。（1ある ２ない ３わからない）／ア 運動が行える公園／2","問６ あなたの周辺に､次に示すような運動ができる場所はありますか｡それぞれの項目について､あてはまる番号を1つ選んで○印をつけて下さい｡※周辺とは、自宅から徒歩、自転車､車でそれぞれ10分以内程度､あるいは通勤一通学路上にあって気軽に行けることを意味するものとします。（1ある ２ない ３わからない）／ア 運動が行える公園／3","問６ あなたの周辺に､次に示すような運動ができる場所はありますか｡それぞれの項目について､あてはまる番号を1つ選んで○印をつけて下さい｡※周辺とは、自宅から徒歩、自転車､車でそれぞれ10分以内程度､あるいは通勤一通学路上にあって気軽に行けることを意味するものとします。（1ある ２ない ３わからない）／ア 運動が行える公園／無回答","問６ あなたの周辺に､次に示すような運動ができる場所はありますか｡それぞれの項目について､あてはまる番号を1つ選んで○印をつけて下さい｡※周辺とは、自宅から徒歩、自転車､車でそれぞれ10分以内程度､あるいは通勤一通学路上にあって気軽に行けることを意味するものとします。（1ある ２ない ３わからない）／イ 安全な歩道や自転車道など／合計","問６ あなたの周辺に､次に示すような運動ができる場所はありますか｡それぞれの項目について､あてはまる番号を1つ選んで○印をつけて下さい｡※周辺とは、自宅から徒歩、自転車､車でそれぞれ10分以内程度､あるいは通勤一通学路上にあって気軽に行けることを意味するものとします。（1ある ２ない ３わからない）／イ 安全な歩道や自転車道など／1","問６ あなたの周辺に､次に示すような運動ができる場所はありますか｡それぞれの項目について､あてはまる番号を1つ選んで○印をつけて下さい｡※周辺とは、自宅から徒歩、自転車､車でそれぞれ10分以内程度､あるいは通勤一通学路上にあって気軽に行けることを意味するものとします。（1ある ２ない ３わからない）／イ 安全な歩道や自転車道など／2","問６ あなたの周辺に､次に示すような運動ができる場所はありますか｡それぞれの項目について､あてはまる番号を1つ選んで○印をつけて下さい｡※周辺とは、自宅から徒歩、自転車､車でそれぞれ10分以内程度､あるいは通勤一通学路上にあって気軽に行けることを意味するものとします。（1ある ２ない ３わからない）／イ 安全な歩道や自転車道など／3","問６ あなたの周辺に､次に示すような運動ができる場所はありますか｡それぞれの項目について､あてはまる番号を1つ選んで○印をつけて下さい｡※周辺とは、自宅から徒歩、自転車､車でそれぞれ10分以内程度､あるいは通勤一通学路上にあって気軽に行けることを意味するものとします。（1ある ２ない ３わからない）／イ 安全な歩道や自転車道など／無回答","問６ あなたの周辺に､次に示すような運動ができる場所はありますか｡それぞれの項目について､あてはまる番号を1つ選んで○印をつけて下さい｡※周辺とは、自宅から徒歩、自転車､車でそれぞれ10分以内程度､あるいは通勤一通学路上にあって気軽に行けることを意味するものとします。（1ある ２ない ３わからない）／ウ 海岸､河原､山など／合計","問６ あなたの周辺に､次に示すような運動ができる場所はありますか｡それぞれの項目について､あてはまる番号を1つ選んで○印をつけて下さい｡※周辺とは、自宅から徒歩、自転車､車でそれぞれ10分以内程度､あるいは通勤一通学路上にあって気軽に行けることを意味するものとします。（1ある ２ない ３わからない）／ウ 海岸､河原､山など／1","問６ あなたの周辺に､次に示すような運動ができる場所はありますか｡それぞれの項目について､あてはまる番号を1つ選んで○印をつけて下さい｡※周辺とは、自宅から徒歩、自転車､車でそれぞれ10分以内程度､あるいは通勤一通学路上にあって気軽に行けることを意味するものとします。（1ある ２ない ３わからない）／ウ 海岸､河原､山など／2","問６ あなたの周辺に､次に示すような運動ができる場所はありますか｡それぞれの項目について､あてはまる番号を1つ選んで○印をつけて下さい｡※周辺とは、自宅から徒歩、自転車､車でそれぞれ10分以内程度､あるいは通勤一通学路上にあって気軽に行けることを意味するものとします。（1ある ２ない ３わからない）／ウ 海岸､河原､山など／3","問６ あなたの周辺に､次に示すような運動ができる場所はありますか｡それぞれの項目について､あてはまる番号を1つ選んで○印をつけて下さい｡※周辺とは、自宅から徒歩、自転車､車でそれぞれ10分以内程度､あるいは通勤一通学路上にあって気軽に行けることを意味するものとします。（1ある ２ない ３わからない）／ウ 海岸､河原､山など／無回答","問６ あなたの周辺に､次に示すような運動ができる場所はありますか｡それぞれの項目について､あてはまる番号を1つ選んで○印をつけて下さい｡※周辺とは、自宅から徒歩、自転車､車でそれぞれ10分以内程度､あるいは通勤一通学路上にあって気軽に行けることを意味するものとします。（1ある ２ない ３わからない）／エ 体育館／合計","問６ あなたの周辺に､次に示すような運動ができる場所はありますか｡それぞれの項目について､あてはまる番号を1つ選んで○印をつけて下さい｡※周辺とは、自宅から徒歩、自転車､車でそれぞれ10分以内程度､あるいは通勤一通学路上にあって気軽に行けることを意味するものとします。（1ある ２ない ３わからない）／エ 体育館／1","問６ あなたの周辺に､次に示すような運動ができる場所はありますか｡それぞれの項目について､あてはまる番号を1つ選んで○印をつけて下さい｡※周辺とは、自宅から徒歩、自転車､車でそれぞれ10分以内程度､あるいは通勤一通学路上にあって気軽に行けることを意味するものとします。（1ある ２ない ３わからない）／エ 体育館／2","問６ あなたの周辺に､次に示すような運動ができる場所はありますか｡それぞれの項目について､あてはまる番号を1つ選んで○印をつけて下さい｡※周辺とは、自宅から徒歩、自転車､車でそれぞれ10分以内程度､あるいは通勤一通学路上にあって気軽に行けることを意味するものとします。（1ある ２ない ３わからない）／エ 体育館／3","問６ あなたの周辺に､次に示すような運動ができる場所はありますか｡それぞれの項目について､あてはまる番号を1つ選んで○印をつけて下さい｡※周辺とは、自宅から徒歩、自転車､車でそれぞれ10分以内程度､あるいは通勤一通学路上にあって気軽に行けることを意味するものとします。（1ある ２ない ３わからない）／エ 体育館／無回答","問６ あなたの周辺に､次に示すような運動ができる場所はありますか｡それぞれの項目について､あてはまる番号を1つ選んで○印をつけて下さい｡※周辺とは、自宅から徒歩、自転車､車でそれぞれ10分以内程度､あるいは通勤一通学路上にあって気軽に行けることを意味するものとします。（1ある ２ない ３わからない）／オ プール／合計","問６ あなたの周辺に､次に示すような運動ができる場所はありますか｡それぞれの項目について､あてはまる番号を1つ選んで○印をつけて下さい｡※周辺とは、自宅から徒歩、自転車､車でそれぞれ10分以内程度､あるいは通勤一通学路上にあって気軽に行けることを意味するものとします。（1ある ２ない ３わからない）／オ プール／1","問６ あなたの周辺に､次に示すような運動ができる場所はありますか｡それぞれの項目について､あてはまる番号を1つ選んで○印をつけて下さい｡※周辺とは、自宅から徒歩、自転車､車でそれぞれ10分以内程度､あるいは通勤一通学路上にあって気軽に行けることを意味するものとします。（1ある ２ない ３わからない）／オ プール／2","問６ あなたの周辺に､次に示すような運動ができる場所はありますか｡それぞれの項目について､あてはまる番号を1つ選んで○印をつけて下さい｡※周辺とは、自宅から徒歩、自転車､車でそれぞれ10分以内程度､あるいは通勤一通学路上にあって気軽に行けることを意味するものとします。（1ある ２ない ３わからない）／オ プール／3","問６ あなたの周辺に､次に示すような運動ができる場所はありますか｡それぞれの項目について､あてはまる番号を1つ選んで○印をつけて下さい｡※周辺とは、自宅から徒歩、自転車､車でそれぞれ10分以内程度､あるいは通勤一通学路上にあって気軽に行けることを意味するものとします。（1ある ２ない ３わからない）／オ プール／無回答"
"全体総数(人)","411","366","25","18","2","411","305","74","29","3","411","69","311","28","3","411","233","124","50","4","411","215","145","47","4"
"全体総数(%)","100","89.1","6.1","4.4","0.5","100","74.2","18","7.1","0.7","100","16.8","75.7","6.8","0.7","100","56.7","30.2","12.2","1","100","52.3","35.3","11.4","1"
"20～29歳(人)","38","31","5","2","0","38","27","7","4","0","38","6","28","4","0","38","24","7","6","1","38","22","10","5","1"
"20～29歳(%)","100","81.6","13.2","5.3","0","100","71.1","18.4","10.5","0","100","15.8","73.7","10.5","0","100","63.2","18.4","15.8","2.6","100","57.9","26.3","13.2","2.6"
"30～39歳(人)","39","38","0","1","0","39","28","5","5","1","39","5","32","2","0","39","27","5","7","0","39","24","9","6","0"
"30～39歳(%)","100","97.4","0","2.6","0","100","71.8","12.8","12.8","2.6","100","12.8","82.1","5.1","0","100","69.2","12.8","17.9","0","100","61.5","23.1","15.4","0"
"40～49歳(人)","77","72","2","3","0","77","69","7","1","0","77","13","57","7","0","77","51","18","8","0","77","46","23","8","0"
"40～49歳(%)","100","93.5","2.6","3.9","0","100","89.6","9.1","1.3","0","100","16.9","74","9.1","0","100","66.2","23.4","10.4","0","100","59.7","29.9","10.4","0"
"50～59歳(人)","67","65","1","1","0","67","56","10","1","0","67","16","50","1","0","67","46","17","4","0","67","38","27","2","0"
"50～59歳(%)","100","97","1.5","1.5","0","100","83.6","14.9","1.5","0","100","23.9","74.6","1.5","0","100","68.7","25.4","6","0","100","56.7","40.3","3","0"
"60～69歳(人)","85","75","6","4","0","85","61","19","5","0","85","17","62","4","2","85","42","31","10","2","85","45","29","9","2"
"60～69歳(%)","100","88.2","7.1","4.7","0","100","71.8","22.4","5.9","0","100","20","72.9","4.7","2.4","100","49.4","36.5","11.8","2.4","100","52.9","34.1","10.6","2.4"
"70歳～(人)","105","85","11","7","2","105","64","26","13","2","105","12","82","10","1","105","43","46","15","1","105","40","47","17","1"
"70歳～(%)","100","81","10.5","6.7","1.9","100","61","24.8","12.4","1.9","100","11.4","78.1","9.5","1","100","41","43.8","14.3","1","100","38.1","44.8","16.2","1"
"男性総数(人)","193","175","12","5","1","193","143","37","11","2","193","32","144","15","2","193","107","57","27","2","193","98","65","28","2"
"男性総数(%)","100","90.7","6.2","2.6","0.5","100","74.1","19.2","5.7","1","100","16.6","74.6","7.8","1","100","55.4","29.5","14","1","100","50.8","33.7","14.5","1"
"20～29歳(人)","19","14","4","1","0","19","14","3","2","0","19","2","14","3","0","19","9","5","5","0","19","11","5","3","0"
"20～29歳(%)","100","73.7","21.1","5.3","0","100","73.7","15.8","10.5","0","100","10.5","73.7","15.8","0","100","47.4","26.3","26.3","0","100","57.9","26.3","15.8","0"
"30～39歳(人)","25","24","0","1","0","25","18","4","2","1","25","4","19","2","0","25","18","2","5","0","25","15","6","4","0"
"30～39歳(%)","100","96","0","4","0","100","72","16","8","4","100","16","76","8","0","100","72","8","20","0","100","60","24","16","0"
"40～49歳(人)","29","27","1","1","0","29","23","5","1","0","29","3","21","5","0","29","19","7","3","0","29","16","9","4","0"
"40～49歳(%)","100","93.1","3.4","3.4","0","100","79.3","17.2","3.4","0","100","10.3","72.4","17.2","0","100","65.5","24.1","10.3","0","100","55.2","31","13.8","0"
"50～59歳(人)","34","33","0","1","0","34","29","4","1","0","34","8","25","1","0","34","23","7","4","0","34","21","11","2","0"
"50～59歳(%)","100","97.1","0","2.9","0","100","85.3","11.8","2.9","0","100","23.5","73.5","2.9","0","100","67.6","20.6","11.8","0","100","61.8","32.4","5.9","0"
"60～69歳(人)","36","34","1","1","0","36","28","7","1","0","36","9","24","2","1","36","19","12","4","1","36","18","11","6","1"
"60～69歳(%)","100","94.4","2.8","2.8","0","100","77.8","19.4","2.8","0","100","25","66.7","5.6","2.8","100","52.8","33.3","11.1","2.8","100","50","30.6","16.7","2.8"
"70歳～(人)","50","43","6","0","1","50","31","14","4","1","50","6","41","2","1","50","19","24","6","1","50","17","23","9","1"
"70歳～(%)","100","86","12","0","2","100","62","28","8","2","100","12","82","4","2","100","38","48","12","2","100","34","46","18","2"
"女性総数(人)","218","191","13","13","1","218","162","37","18","1","218","37","167","13","1","218","126","67","23","2","218","117","80","19","2"
"女性総数(%)","100","87.6","6","6","0.5","100","74.3","17","8.3","0.5","100","17","76.6","6","0.5","100","57.8","30.7","10.6","0.9","100","53.7","36.7","8.7","0.9"
"20～29歳(人)","19","17","1","1","0","19","13","4","2","0","19","4","14","1","0","19","15","2","1","1","19","11","5","2","1"
"20～29歳(%)","100","89.5","5.3","5.3","0","100","68.4","21.1","10.5","0","100","21.1","73.7","5.3","0","100","78.9","10.5","5.3","5.3","100","57.9","26.3","10.5","5.3"
"30～39歳(人)","14","14","0","0","0","14","10","1","3","0","14","1","13","0","0","14","9","3","2","0","14","9","3","2","0"
"30～39歳(%)","100","100","0","0","0","100","71.4","7.1","21.4","0","100","7.1","92.9","0","0","100","64.3","21.4","14.3","0","100","64.3","21.4","14.3","0"
"40～49歳(人)","48","45","1","2","0","48","46","2","0","0","48","10","36","2","0","48","32","11","5","0","48","30","14","4","0"
"40～49歳(%)","100","93.8","2.1","4.2","0","100","95.8","4.2","0","0","100","20.8","75","4.2","0","100","66.7","22.9","10.4","0","100","62.5","29.2","8.3","0"
"50～59歳(人)","33","32","1","0","0","33","27","6","0","0","33","8","25","0","0","33","23","10","0","0","33","17","16","0","0"
"50～59歳(%)","100","97","3","0","0","100","81.8","18.2","0","0","100","24.2","75.8","0","0","100","69.7","30.3","0","0","100","51.5","48.5","0","0"
"60～69歳(人)","49","41","5","3","0","49","33","12","4","0","49","8","38","2","1","49","23","19","6","1","49","27","18","3","1"
"60～69歳(%)","100","83.7","10.2","6.1","0","100","67.3","24.5","8.2","0","100","16.3","77.6","4.1","2","100","46.9","38.8","12.2","2","100","55.1","36.7","6.1","2"
"70歳～(人)","55","42","5","7","1","55","33","12","9","1","55","6","41","8","0","55","24","22","9","0","55","23","24","8","0"
"70歳～(%)","100","76.4","9.1","12.7","1.8","100","60","21.8","16.4","1.8","100","10.9","74.5","14.5","0","100","43.6","40","16.4","0","100","41.8","43.6","14.5","0"
