施設名,郵便番号,所在地,経度,緯度,座標系,電話番号
千代田区児童・家庭支援センター,101-0048,千代田区神田司町２-１６　神田さくら館６階,139.76849,35.69305,JGD2011,03-3256-815003-5298-5521(千代田っこホットライン03-3256-8150)
中央区立子ども家庭支援センター,104-0054,中央区勝どき１-４-１　３階,139.77724,35.66024,JGD2011,03-3534-2255（虐待情報専用電話）03-3534-2228
港区子ども家庭支援センター,107-0062,港区南青山５-７-１１,139.71281,35.66269,JGD2011,03-5962-7215（港区児童虐待相談ダイヤル（24時間対応））0120-483-710
新宿区立子ども総合センター,160-0022,新宿区新宿７-３-２９,139.7132,35.70022,JGD2011,03-3232-0675
文京区子ども家庭支援センター,112-8555,文京区春日１-１６-２１　シビックセンター５階,139.75278,35.70794,JGD2011,03-5803-1109
台東区日本堤子ども家庭支援センター,111-0021,台東区日本堤２-２５-８,139.79746,35.72813,JGD2011,03-5824-2571（24時間受付電話）03-3875-1889
墨田区子育て支援総合センター,131-0046,墨田区京島１-３５-９-１０３　マーク・ゼロワン曳舟タワー棟１階,139.81969,35.71669,JGD2011,03-5630-6351（相談専用電話）03-5630-6677
江東区南砂子ども家庭支援センター,136-0076,江東区南砂３-１４-１-１０１,139.83186,35.66913,JGD2011,03-5617-7772（虐待ホットライン）03-3646-5481
品川区子育て支援センター,142-0051,品川区平塚２-１２-２　品川区立家庭あんしんセンター内,139.71266,35.61694,JGD2011,03-5749-1032
目黒区子ども家庭支援センター,153-8573,目黒区上目黒２-１９-１５　目黒区総合庁舎６階（相談は総合庁舎別館２階）,139.69838,35.64108,JGD2011,（相談専用電話）03-3715-2641（虐待通告専用）03-5722-9743　※月～金
大田区子ども家庭支援センター,143-0016,大田区大森北４-１６-５,139.72653,35.58298,JGD2011,03-5753-7830（虐待通報専用）03-5753-9924　※月～金
世田谷区　せたがや子ども家庭支援センター,154-8504,世田谷区世田谷４-２２-３３　世田谷区役所第３庁舎,139.65193,35.64657,JGD2011,03-5432-2915
渋谷区子ども家庭支援センター,150-0002,渋谷区渋谷１-１８-２１,139.70392,35.66185,JGD2011,0120-135-415
中野区子ども家庭支援センター,164-8501,中野区新井１-９-１,139.66594,35.71022,JGD2011,03-3228-7867
杉並子ども家庭支援センター,166-0004,杉並区阿佐谷南１-１４-８,139.63687,35.69917,JGD2011,03-5929-1902
豊島区東部子ども家庭支援センター,170-0012,豊島区上池袋２-３５-２２,139.7179,35.73687,JGD2011,03-5980-5275（子ども専用）0120-618-471
北区子ども家庭支援センター,114-0002,北区王子６-７-３　旧清至中学校別棟,139.74117,35.7632,JGD2011,03-3914-9565（児童虐待専用）03-3912-1894　※月～金
荒川区子ども家庭総合センター,116-0002,荒川区荒川１-５０-１７,139.78474,35.73388,JGD2011,03-3802-3765（あらかわｷｯｽﾞ・ﾏｻﾞｰｽﾞｺｰﾙ24）0120-536-883
板橋区子ども家庭支援センター,173-0015,板橋区栄町３６-１　板橋区立グリーンホール７階,139.70491,35.75082,JGD2011,03-3579-2656（虐待相談専用）03-3579-2658 （24時間365日対応）（子どもなんでも相談）0120-925-610　（24時間365日対応）
練馬区練馬子ども家庭支援センター,176-0012,練馬区豊玉北５-２８-３,139.65346,35.73506,JGD2011,03-3993-8155（虐待相談専用）03-3993-2066（虐待通告専用ﾌﾘｰﾀﾞｲﾔﾙ）0120-248-551
