"","合計","高齢者本人の痴呆による言動の混乱","高齢者本人の徘徊介助の困難さ","高齢者本人の身体的自立度の低さ","高齢者本人の性格や人格","高齢者本人のサービス利用への抵抗感","高齢者本人の家族による介護は当然","虐待者の身体障害","虐待者の知的障害"
"担当ケアマネジャー(回答数)","1991","737","505","605","766","107","163","116","67"
"担当ケアマネジャー(%)","100.0","37.0","25.4","30.4","38.5","5.4","8.2","5.8","3.4"
"居宅介護支援(回答数)","1365","490","371","439","506","81","116","82","41"
"居宅介護支援(%)","100.0","35.9","27.2","32.2","37.1","5.9","8.5","6.0","3.0"
"地域型在宅介護支援センター(回答数)","1117","387","222","287","405","58","75","57","54"
"地域型在宅介護支援センター(%)","100.0","34.6","19.9","25.7","36.3","5.2","6.7","5.1","4.8"
"基幹型在宅介護支援センター(回答数)","532","145","84","135","176","23","25","25","28"
"基幹型在宅介護支援センター(%)","100.0","27.3","15.8","25.4","33.1","4.3","4.7","4.7","5.3"
"訪問介護(回答数)","307","85","72","95","103","20","17","14","9"
"訪問介護(%)","100.0","27.7","23.5","30.9","33.6","6.5","5.5","4.6","2.9"
"訪問看護(回答数)","336","114","118","137","117","30","25","23","16"
"訪問看護(%)","100.0","33.9","35.1","40.8","34.8","8.9","7.4","6.8","4.8"
"通所介護(回答数)","512","211","137","179","175","18","33","17","6"
"通所介護(%)","100.0","41.2","26.8","35.0","34.2","3.5","6.4","3.3","1.2"
"病院(回答数)","55","21","8","13","17","1","2","4","1"
"病院(%)","100.0","38.2","14.5","23.6","30.9","1.8","3.6","7.3","1.8"
"老人保健施設(回答数)","227","105","46","80","83","5","9","13","8"
"老人保健施設(%)","100.0","46.3","20.3","35.2","36.6","2.2","4.0","5.7","3.5"
"都道府県保健所(回答数)","37","12","6","13","6","1","0","0","1"
"都道府県保健所(%)","100.0","32.4","16.2","35.1","16.2","2.7","0.0","0.0","2.7"
"政令、中核、特別区保健所(回答数)","124","30","13","34","40","8","6","4","11"
"政令、中核、特別区保健所(%)","100.0","24.2","10.5","27.4","32.3","6.5","4.8","3.2","8.9"
"市町村保健センター(回答数)","265","57","40","58","82","11","10","17","11"
"市町村保健センター(%)","100.0","21.5","15.1","21.9","30.9","4.2","3.8","6.4","4.2"
