"上段：度数／下段：%","n=","大変満足","満足","やや満足","どちらともいえない","やや不満","不満","非常に不満","無回答","平均値"
"ＴＯＴＡＬ","8214","1171","2970","1416","1354","656","264","108","275","1.2"
"ＴＯＴＡＬ","100","14.3","36.2","17.2","16.5","8.0","3.2","1.3","3.3",""
"性別・年代／女性計","7526","1079","2734","1302","1216","609","248","95","243","1.2"
"性別・年代／女性計","100","14.3","36.3","17.3","16.2","8.1","3.3","1.3","3.2",""
"性別・年代／女性２０代","3297","450","1125","546","593","312","122","57","92","1.1"
"性別・年代／女性２０代","100","13.6","34.1","16.6","18.0","9.5","3.7","1.7","2.8",""
"性別・年代／女性３０代","1612","236","589","267","275","127","56","17","45","1.2"
"性別・年代／女性３０代","100","14.6","36.5","16.6","17.1","7.9","3.5","1.1","2.8",""
"性別・年代／女性４０代","1560","250","597","285","206","101","47","15","59","1.3"
"性別・年代／女性４０代","100","16.0","38.3","18.3","13.2","6.5","3.0","1.0","3.8",""
"性別・年代／女性５０代以上","1005","137","408","193","129","68","22","6","42","1.3"
"性別・年代／女性５０代以上","100","13.6","40.6","19.2","12.8","6.8","2.2","0.6","4.2",""
"性別・年代／男性計","380","59","124","61","87","22","7","4","16","1.2"
"性別・年代／男性計","100","15.5","32.6","16.1","22.9","5.8","1.8","1.1","4.2",""
"性別・年代／男性２０代","281","45","95","43","65","16","3","1","13","1.3"
"性別・年代／男性２０代","100","16.0","33.8","15.3","23.1","5.7","1.1","0.4","4.6",""
"性別・年代／男性３０代以上","99","14","29","18","22","6","4","3","3","1.0"
"性別・年代／男性３０代以上","100","14.1","29.3","18.2","22.2","6.1","4.0","3.0","3.0",""
"性別・年代／無回答","308","33","112","53","51","25","9","9","16","1.0"
"性別・年代／無回答","100","10.7","36.4","17.2","16.6","8.1","2.9","2.9","5.2",""
