"日常生活動作","ひとりで全部できる(%)","ひとりでできるがスムーズにはできない(%)","一部手助けがあればできる(%)","全部手助けが必要(%)","無回答(%)"
"a ごはんを食べる","77.2","7.2","9.3","6","0.4"
"b 家事(調理、洗濯、掃除)をする","27.3","9","20","40.5","3.2"
"c トイレを使う","70.5","7.8","13.3","8.1","0.2"
"d 着替えをする","66.4","10.7","13.6","9","0.2"
"e お風呂に入る","60.4","9.4","13.2","16.8","0.2"
"f 寝返りをする","91.4","3.1","0.9","4","0.7"
"g 家の中を移動する","86.4","4.6","2.8","5.9","0.2"
"h 外に出かける","48.6","8","18","24.3","1"
"i 日常の買い物","37.7","10.5","17.8","32.6","1.5"
"j 薬の管理","33.1","9","15.4","38.1","4.3"
