"","施設総数","ぜん息／施設数","ぜん息／割合","食物アレルギー／施設数","食物アレルギー／割合","アナフィラキシー／施設数","アナフィラキシー／割合","アトピー性皮膚炎／施設数","アトピー性皮膚炎／割合","アレルギー性鼻炎／施設数","アレルギー性鼻炎／割合","アレルギー性結膜炎／施設数","アレルギー性結膜炎／割合"
"認可保育所＊","1588","1195","75.3","1531","96.4","673","42.4","1158","72.9","536","33.8","499","31.4"
"認証保育所＊","527","232","44.0","483","91.7","91","17.3","205","38.9","77","14.6","24","4.6"
"認定こども園＊","95","69","72.6","92","96.8","43","45.3","67","70.5","35","36.8","29","30.5"
"幼稚園＊","666","521","78.2","626","94.0","285","42.8","479","71.9","354","53.2","181","27.2"
"ベビーホテル","331","103","31.1","203","61.3","32","9.7","91","27.5","48","14.5","17","5.1"
"家庭的保育","596","145","24.3","160","26.8","35","5.9","98","16.4","49","8.2","31","5.2"
"学童保育","1169","851","72.8","1000","85.5","344","29.4","759","64.9","720","61.6","338","28.9"
"上記以外の施設","376","101","26.9","208","55.3","34","9.0","100","26.6","42","11.2","15","4.0"
"総数","5348","3217","60.2","4303","80.5","1537","28.7","2957","55.3","1861","34.8","1134","21.2"
"＊前回調査施設 (再掲）","2876","2017","70.1","2732","95.0","1092","38.0","1909","66.4","1002","34.8","733","25.5" 
