"","はい","いいえ"
"対象者数","135","13429"
"症状１","132","12761"
"%","97.78","95.03"
"症状２","132","12928"
"%","97.78","96.27"
"症状３","125","12340"
"%","92.59","91.89"
"症状４","129","12172"
"%","95.56","90.64"
"症状５","132","13101"
"%","97.78","97.56"
"（軽症）間欠型","39","3234"
"%","28.89","24.08"
"軽症持続型","59","5019"
"%","43.70","37.37"
"中等症持続型","30","4094"
"%","22.22","30.49"
"重症持続型","7","1048"
"%","5.19","7.80"
"アレ・ダニ・陽性","94","9173"
"%","69.63","68.31"
"アレ・ダニ・擬陽性","3","265"
"%","2.22","1.97"
"アレ・ダニ・陰性","30","3405"
"%","22.22","25.36"
"アレ・ハウスダスト・陽性","87","8618"
"%","64.44","64.17"
"アレ・ハウスダスト・擬陽性","2","269"
"%","1.48","2.00"
"アレ・ハウスダスト・陰性","28","3307"
"%","20.74","24.63"
