"","症状有または診断有（n=733）／人数","症状有または診断有（n=733）／割合","症状有（n=717）／人数","症状有（n=717）／割合","診断有（n=579）／人数","診断有（n=579）／割合"
"皮膚の症状／1.かゆみ","300","40.9","300","41.8","268","46.3"
"皮膚の症状／2.じんましん","414","56.5","414","57.7","358","61.8"
"皮膚の症状／3.赤くなる","481","65.6","481","67.1","399","68.9"
"目の症状／4.目のかゆみや充血","69","9.4","69","9.6","57","9.8"
"目の症状／5.まぶたの腫れ","173","23.6","173","24.1","154","26.6"
"鼻の症状／6.くしゃみ","25","3.4","25","3.5","24","4.1"
"鼻の症状／7.鼻水","47","6.4","47","6.6","45","7.8"
"鼻の症状／8.鼻づまり","15","2.0","15","2.1","14","2.4"
"口の症状／9.口の中の違和感","53","7.2","53","7.4","45","7.8"
"口の症状／10.唇の腫れ","122","16.6","122","17.0","106","18.3"
"消化器の症状／11.腹痛","18","2.5","18","2.5","16","2.8"
"消化器の症状／12.吐き気","21","2.9","21","2.9","21","3.6"
"消化器の症状／13.おう吐","107","14.6","107","14.9","97","16.8"
"消化器の症状／14.下痢","59","8.0","59","8.2","54","9.3"
"呼吸器の症状／15.声がかすれる","16","2.2","16","2.2","15","2.6"
"呼吸器の症状／16.犬が吠えるような咳","8","1.1","8","1.1","8","1.4"
"呼吸器の症状／17.のどや胸が締め付けられる","10","1.4","10","1.4","10","1.7"
"呼吸器の症状／18.咳","48","6.5","48","6.7","46","7.9"
"呼吸器の症状／19.息がしにくい","21","2.9","21","2.9","21","3.6"
"呼吸器の症状／20.ゼーゼー、ヒューヒュー","46","6.3","46","6.4","44","7.6"
"ショック症状／21.意識がない","2","0.3","2","0.3","2","0.3"
"ショック症状／22.意識もうろう","11","1.5","11","1.5","11","1.9"
"ショック症状／23.ぐったり","52","7.1","52","7.3","52","9.0"
"ショック症状／24.尿や便を漏らす","1","0.1","1","0.1","1","0.2"
"ショック症状／25.脈が触れにくい","1","0.1","1","0.1","1","0.2"
"ショック症状／26.唇やつめが青白い","13","1.8","13","1.8","13","2.2"
"その他／その他","49","6.7","46","6.4","41","7.1"
"無回答／無回答","41","5.6","28","3.9","14","2.4" 
