"","青梅市","青梅市(%)","東大和市","東大和市(%)","八王子市","八王子市(%)","中野区","中野区(%)","豊島区","豊島区(%)","品川区","品川区(%)","足立区","足立区(%)"
"持続性せき／7年度","11","1.6","4","0.9","9","1.8","6","1.4","14","2.2","6","1.2","12","2.1",""
"持続性せき／8年度","11","1.6","8","1.7","9","1.9","9","2.0","13","1.9","4","0.8","12","1.9",""
"持続性せき／9年度","9","1.5","8","1.8","7","1.6","8","2.0","7","1.2","8","1.7","8","1.4",""
"持続性せき／10年度","9","1.6","6","1.3","10","2.3","5","1.3","9","1.7","12","2.6","10","1.9",""
"持続性せき／11年度","5","0.9","7","1.4","9","2.1","5","1.5","7","1.5","7","1.7","12","2.2","0.700"
"持続性たん／7年度","7","1.0","4","0.9","5","1.0","4","0.9","9","1.4","3","0.6","13","2.3",""
"持続性たん／8年度","11","1.6","2","0.4","6","1.2","7","1.5","5","0.7","2","0.4","12","1.9",""
"持続性たん／9年度","9","1.5","5","1.1","8","1.8","9","2.2","7","1.2","6","1.3","5","0.9",""
"持続性たん／10年度","5","0.9","7","1.5","4","0.9","5","1.3","7","1.3","9","2.0","8","1.5",""
"持続性たん／11年度","4","0.7","4","0.8","4","1.0","3","0.9","5","1.0","7","1.7","10","1.8","0.291"
"ぜい鳴／7年度","33","4.8","28","6.0","28","5.7","22","5.1","33","5.1","18","3.7","30","5.3",""
"ぜい鳴／8年度","30","4.5","25","5.3","30","6.2","30","6.6","36","5.4","19","3.8","33","5.3",""
"ぜい鳴／9年度","40","6.5","24","5.3","16","3.6","27","6.7","32","5.5","27","5.8","30","5.2",""
"ぜい鳴／10年度","34","5.9","21","4.4","20","4.5","18","4.8","31","5.7","20","4.4","35","6.5",""
"ぜい鳴／11年度","33","6.1","27","5.6","15","3.6","19","5.6","29","6.1","18","4.3","20","3.6","0.380"
"ぜん息様症状(現在)／7年度","47","6.8","30","6.5","41","8.4","28","6.5","54","8.3","38","7.9","37","6.5",""
"ぜん息様症状(現在)／8年度","51","7.6","29","6.1","26","5.4","33","7.3","59","8.8","31","6.3","41","6.6",""
"ぜん息様症状(現在)／9年度","51","8.3","30","6.6","29","6.5","32","7.9","41","7.0","32","6.8","30","5.2",""
"ぜん息様症状(現在)／10年度","38","6.6","35","7.3","31","7.0","31","8.3","40","7.4","41","9.0","32","6.0",""
"ぜん息様症状(現在)／11年度","34","6.3","40","8.2","27","6.4","32","9.5","40","8.4","34","8.1","41","7.4","0.196"
"鼻炎様症状（一年中）／7年度","41","6.0","21","4.5","27","5.5","22","5.1","37","5.7","32","6.6","37","6.5",""
"鼻炎様症状（一年中）／8年度","30","4.5","19","4.0","25","5.2","31","6.8","51","7.6","30","6.1","40","6.5",""
"鼻炎様症状（一年中）／9年度","20","3.3","22","4.8","27","6.1","28","6.9","44","7.5","29","6.2","33","5.7",""
"鼻炎様症状（一年中）／10年度","33","5.7","20","4.2","19","4.3","30","8.0","31","5.7","28","6.1","36","6.7",""
"鼻炎様症状（一年中）／11年度","34","6.3","20","4.1","30","7.1","23","6.8","32","6.7","29","6.9","44","7.9","0.001"
"鼻炎様症状（春）／7年度","142","20.7","61","13.1","104","21.3","65","15.0","80","12.4","68","14.1","78","13.7",""
"鼻炎様症状（春）／8年度","122","18.3","48","10.2","79","16.4","65","14.3","80","12.0","60","12.1","75","12.1",""
"鼻炎様症状（春）／9年度","124","20.2","65","14.2","85","19.1","60","14.9","74","12.6","58","12.4","88","15.2",""
"鼻炎様症状（春）／10年度","103","17.9","65","13.6","88","20.0","49","13.1","78","14.4","52","11.4","69","12.9",""
"鼻炎様症状（春）／11年度","104","19.2","76","15.7","89","21.2","44","13.1","74","15.4","50","11.9","73","13.2","0.000"
