"基金名称","東京都介護基盤緊急整備等臨時特例基金"
"基金設置法人名","東京都"
"A／基金造成のための国からの交付決定額（H21第一次補正予算、H22予備費、第一次補正予算、H23第三次補正予算、H24予備費、H25予算、H26予算）（運用収入を含む。）(百万円)","18560"
"A／基金造成のための国からの交付決定額（H21第一次補正予算、H22予備費、第一次補正予算、H23第三次補正予算、H24予備費、H25予算、H26予算）（運用収入を含む。）／（国からの交付決定額）(百万円)","18468"
"A／基金造成のための国からの交付決定額（H21第一次補正予算、H22予備費、第一次補正予算、H23第三次補正予算、H24予備費、H25予算、H26予算）（運用収入を含む。）／（運用収入額）(百万円)","92"
"B／平成26年度下半期終了時におけるAの金額の残高（A-C）(百万円)","11024"
"C／執行（支出）済み額(百万円)","7536"
"E／翌半期以降の執行見込みについて","平成27年度については、下半期に執行予定"
"E／（執行見込額）(百万円)","0"
"執行済み額（C）の平成21年度合計(百万円)","311"
"執行済み額（C)の平成22年度合計(百万円)","1839"
"執行済み額（C)の平成23年度合計(百万円)","2782"
"執行済み額（C)の平成24年度合計(百万円)","593"
"執行済み額（C)の平成25年度合計(百万円)","1136"
"執行済み額（C)の平成26年度上半期合計(百万円)","0"
"執行済み額（C)の平成26年度下半期合計(百万円)","875"
