"基金名称","介護職員処遇改善等臨時特例基金＜(2)介護職員処遇改善交付金（基本事業）＞"
"基金設置法人名","東京都"
"A／基金造成のための国からの交付決定額（平成21年度補正予算）（運用収入を含む。）(百万円)","35095"
"A／基金造成のための国からの交付決定額（平成21年度補正予算）（運用収入を含む。）／（国からの交付決定額）(百万円)","35095"
"A／基金造成のための国からの交付決定額（平成21年度補正予算）（運用収入を含む。）／（運用収入額）(百万円)","0"
"B／平成22年度下半期終了時におけるAの金額の残高（A-C）(百万円)","19887"
"C／執行（支出）済み額(百万円)","15208"
"E／翌半期以降の執行見込みについて","平成２３年度介護職員処遇改善交付金として、既に2,959百万円執行済（４月～６月）。その他残額については、順次交付予定。"
"E／（執行見込額）(百万円)","19833"
"執行済み額（C)の平成22年度上半期合計(百万円)","5673"
"執行済み額（C)の平成22年度下半期合計(百万円)","5873"
