"","総数","給食の原材料を記入した献立表を事前に配布している／施設数","給食の原材料を記入した献立表を事前に配布している／割合","補食の原材料を記入した献立表を事前に配布している／施設数","補食の原材料を記入した献立表を事前に配布している／割合","おやつの原材料を記入した献立表を事前に配布している／施設数","おやつの原材料を記入した献立表を事前に配布している／割合","一部のおかずのみ弁当を持参してもらっている／施設数","一部のおかずのみ弁当を持参してもらっている／割合","完全除去食（原因物質を除いた食事）を提供している／施設数","完全除去食（原因物質を除いた食事）を提供している／割合","段階的除去食を提供している／施設数","段階的除去食を提供している／割合","代替食を提供している／施設数","代替食を提供している／割合","給食を提供せず、家庭から弁当を持参してもらっている／施設数","給食を提供せず、家庭から弁当を持参してもらっている／割合","その他／施設数","その他／割合","無回答／施設数","無回答／割合"
"認可保育所＊","1579","94","6.0","1","0.1","8","0.5","11","0.7","319","20.2","96","6.1","302","19.1","1","0.1","10","0.6","760","48.1"
"認証保育所＊","526","28","5.3","","","1","0.2","4","0.8","143","27.2","36","6.8","74","14.1","1","0.2","2","0.4","242","46.0"
"認定こども園＊","95","6","6.3","2","2.1","3","3.2","1","1.1","19","20.0","8","8.4","15","15.8","4","4.2","","","46","48.4"
"幼稚園＊","528","46","8.7","0","0.0","9","1.7","9","1.7","44","8.3","12","2.3","39","7.4","38","7.2","5","0.9","330","62.5"
"ベビーホテル","271","10","3.7","1","0.4","1","0.4","1","0.4","34","12.5","9","3.3","24","8.9","24","8.9","","","172","63.5"
"家庭的保育","213","1","0.5","","","","","","","15","7.0","4","1.9","12","5.6","18","8.5","","","163","76.5"
"学童保育","1118","","","1","0.1","11","1.0","","","98","8.8","20","1.8","154","13.8","23","2.1","21","1.9","794","71.0"
"上記以外の施設","304","4","1.3","","","","","5","1.6","37","12.2","12","3.9","31","10.2","38","12.5","","","180","59.2"
"総数","4634","189","4.1","5","0.1","33","0.7","31","0.7","709","15.3","197","4.3","651","14.0","147","3.2","38","0.8","2687","58.0"
"＊前回調査施設 (再掲）","2728","174","6.4","3","0.1","21","0.8","25","0.9","525","19.2","152","5.6","430","15.8","44","1.6","17","0.6","1378","50.5" 
