"上段：度数／下段：%","n=","働く必要がなかった","家事・育児に専念したかった","就職活動をしたが、採用されなかった","勤務日数・時間が合致する求人がなかった","希望する給与等待遇の求人がなかった","そもそも保育士の求人の情報がなかった","自分には適性がないと感じた","別の職業を希望した","資格取得が目的で、保育士として働く意志はなかった","家族等の意向","その他","無回答"
"ＴＯＴＡＬ","3969","148","391","170","549","691","54","332","1948","309","88","1125","18"
"ＴＯＴＡＬ","100","3.7","9.9","4.3","13.8","17.4","1.4","8.4","49.1","7.8","2.2","28.3","0.5"
"性別・年代／女性計","3618","126","376","144","515","596","48","290","1792","277","77","1026","17"
"性別・年代／女性計","100","3.5","10.4","4.0","14.2","16.5","1.3","8.0","49.5","7.7","2.1","28.4","0.5"
"性別・年代／女性２０代","1678","19","47","48","115","232","8","208","1145","116","18","355","6"
"性別・年代／女性２０代","100","1.1","2.8","2.9","6.9","13.8","0.5","12.4","68.2","6.9","1.1","21.2","0.4"
"性別・年代／女性３０代","987","46","181","33","177","209","14","36","369","89","17","307","4"
"性別・年代／女性３０代","100","4.7","18.3","3.3","17.9","21.2","1.4","3.6","37.4","9.0","1.7","31.1","0.4"
"性別・年代／女性４０代","662","45","122","44","183","123","16","35","175","46","28","240","4"
"性別・年代／女性４０代","100","6.8","18.4","6.6","27.6","18.6","2.4","5.3","26.4","6.9","4.2","36.3","0.6"
"性別・年代／女性５０代以上","272","15","24","18","38","29","10","9","95","25","13","119","2"
"性別・年代／女性５０代以上","100","5.5","8.8","6.6","14.0","10.7","3.7","3.3","34.9","9.2","4.8","43.8","0.7"
"性別・年代／男性計","224","12","0","22","11","66","3","30","96","28","6","62","0"
"性別・年代／男性計","100","5.4","0.0","9.8","4.9","29.5","1.3","13.4","42.9","12.5","2.7","27.7","0.0"
"性別・年代／男性２０代","135","1","0","16","5","41","0","27","73","6","3","34","0"
"性別・年代／男性２０代","100","0.7","0.0","11.9","3.7","30.4","0.0","20.0","54.1","4.4","2.2","25.2","0.0"
"性別・年代／男性３０代以上","88","11","0","6","6","25","3","3","22","22","3","28","0"
"性別・年代／男性３０代以上","100","12.5","0.0","6.8","6.8","28.4","3.4","3.4","25.0","25.0","3.4","31.8","0.0"
"性別・年代／無回答","127","10","15","4","23","29","3","12","60","4","5","37","1"
"性別・年代／無回答","100","7.9","11.8","3.1","18.1","22.8","2.4","9.4","47.2","3.1","3.9","29.1","0.8"
