"区市町村通番","所管地域","名称","ヨミガナ","電話番号","ＦＡＸ番号","郵便番号","住所","緯度","経度","座標系","対応時間帯","特記事項","施設種別／地域包括支援センター","施設種別／ブランチ・サブセンター","施設種別／在宅介護支援センター","施設種別／その他相談窓口","相談内容／高齢者の異変","相談内容／消費者被害のおそれ"
"1","王子本町１～３丁目","王子高齢者あんしんセンター","ｵｳｼﾞｺｳﾚｲｼｬｱﾝｼﾝｾﾝﾀｰ","03-3908-9083","03-3908-1229","114-8508","北区王子本町1-15-22","35.753197","139.734283","JGD2011","平日8時30分～17時15分／（休業日時土・日・祝日・年末年始）","","〇","","","","〇",""
"2","中十条１～４丁目、岸町１～２丁目、十条台１丁目、上十条１丁目","十条台高齢者あんしんセンター","ｼﾞｭｳｼﾞｮｳﾀﾞｲｺｳﾚｲｼｬｱﾝｼﾝｾﾝﾀｰ","03-5948-5630","03-3906-6610","114-0032","北区中十条1-2-18 障害者福祉センター３階","35.757874","139.729874","JGD2011","月曜日～土曜日9時～18時（休業日時日曜日・祝日）","","〇","","","","〇",""
"3","王子１～６丁目、豊島１丁目","王子光照苑高齢者あんしんセンター","ｵｳｼﾞｺｳｼｮｳｴﾝｺｳﾚｲｼｬｱﾝｼﾝｾﾝﾀｰ","03-3927-8899","03-5902-7667","114-0002","北区王子3-3-1","35.760288","139.732925","JGD2011","月曜日～土曜日9時～18時（休業日時日曜日・祝日）","","〇","〇","","","〇",""
"4","豊島２～８丁目","豊島高齢者あんしんセンター","ﾄｼﾏｺｳﾚｲｼｬｱﾝｼﾝｾﾝﾀｰ","03-6903-2712","03-6903-2707","114-0003","北区豊島3-27-22 豊島区民センター1階","34.798351","137.581207","JGD2011","月曜日～土曜日9時～18時（休業日時日曜日・祝日）","","〇","〇","","","〇",""
"5","十条台２丁目、上十条２～５丁目、十条仲原１～４丁目","十条高齢者あんしんセンター","ｼﾞｭｳｼﾞｮｳｺｳﾚｲｼｬｱﾝｼﾝｾﾝﾀｰ","03-5948-9981","03-5948-9982","114-0034","北区上十条3-1-25 帝京大学4号館1階","35.759098","139.717316","JGD2011","月曜日～土曜日9時～18時（休業日時日曜日・祝日）","","〇","","","","〇",""
"6","東十条１～６丁目、神谷１～３丁目","東十条・神谷高齢者あんしんセンター","ﾋｶﾞｼｼﾞｭｳｼﾞｮｳ･ｶﾐﾔｺｳﾚｲｼｬｱﾝｼﾝｾﾝﾀｰ","03-6908-4711","03-5390-0122","114-0001","北区東十条3-2-3-101 東十条グリーンハイツ１階","35.765297","139.729431","JGD2011","月曜日～土曜日9時～18時（休業日時日曜日・祝日）","","〇","","","","〇",""
"7","赤羽西1～６丁目（５丁目3～15を除く）、西が丘１～３丁目","西が丘園高齢者あんしんセンター","ﾆｼｶﾞｵｶｴﾝｺｳﾚｲｼｬｱﾝｼﾝｾﾝﾀｰ","03-5924-7715","03-5924-7712","115-0056","北区西が丘3-16-27","35.767303","139.707306","JGD2011","月曜日～土曜日9時～18時（休業日時日曜日・祝日）","","〇","","","","〇",""
"8","志茂１～５丁目","みずべの苑高齢者あんしんセンター","ﾐｽﾞﾍﾞﾉｿﾉｺｳﾚｲｼｬｱﾝｼﾝｾﾝﾀｰ","03-5941-6722","03-5941-6723","115-0042","北区志茂3-13-5 信濃ビル１階","35.777435","139.733063","JGD2011","月曜日～土曜日9時～18時（休業日時日曜日・祝日）","","〇","","","","〇",""
"9","岩淵町、赤羽１～２丁目、赤羽３丁目1～4、5（2～11）、6（1～9・27～ 32）、赤羽南１～２丁目","赤羽高齢者あんしんセンター","ｱｶﾊﾞﾈｺｳﾚｲｼｬｱﾝｼﾝｾﾝﾀｰ","03-3903-4167","03-3903-4257","115-0044","北区赤羽南1-13-1 赤羽会館6階","35.777493","139.723923","JGD2011","月曜日～土曜日9時～18時（休業日時日曜日・祝日）","","〇","","","","〇",""
"10","赤羽北１～２丁目、赤羽北３丁目（3～5、16～25を除く）、赤羽台４丁目2～ 15、17（9・25～65）、18、19、赤羽３丁目５（１・13～15）、６（10～26）、７～29","赤羽北高齢者あんしんセンター","ｱｶﾊﾞﾈｷﾀｺｳﾚｲｼｬｱﾝｼﾝｾﾝﾀｰ","03-5948-5940","03-5948-5941","115-0052","北区赤羽北2-25-8 アクトピア北赤羽六番館赤羽北区民センター3階","35.785450","139.709061","JGD2011","月曜日～土曜日9時～18時（休業日時日曜日・祝日）","","〇","","","","〇",""
