"区市町村通番","所管地域","名称","ヨミガナ","電話番号","ＦＡＸ番号","郵便番号","住所","緯度","経度","座標系","対応時間帯","特記事項","施設種別／地域包括支援センター","施設種別／ブランチ・サブセンター","施設種別／在宅介護支援センター","施設種別／その他相談窓口","相談内容／高齢者の異変","相談内容／消費者被害のおそれ"
"1","武蔵台、北山町、西原町、日鋼町、美好町（1、2丁目）、東芝町","府中市地域包括支援センター泉苑","ﾌﾁｭｳｼﾁｲｷﾎｳｶﾂｼｴﾝｾﾝﾀｰｲｽﾞﾐｴﾝ","042-366-0171","042-362-8460","183-0042","府中市武蔵台1-10","35.687572","139.464539","JGD2011","月曜日～日曜日8時30分～17時30分","","〇","","","","〇",""
"2","四谷、住吉町、分梅町、美好町（3丁目）","府中市地域包括支援センターよつや苑","ﾌﾁｭｳｼﾁｲｷﾎｳｶﾂｼｴﾝｾﾝﾀｰﾖﾂﾔｴﾝ","042-334-8133","042-334-8154","183-0035","府中市四谷3-66","35.659973","139.445938","JGD2011","月曜日～土曜日8時30分～17時30分","","〇","","","","〇",""
"3","多磨町、若松町（1丁目）、紅葉丘、朝日町、白糸台（1、2、3丁目）","府中市地域包括支援センターあさひ苑","ﾌﾁｭｳｼﾁｲｷﾎｳｶﾂｼｴﾝｾﾝﾀｰｱｻﾋｴﾝ","042-369-0080","042-365-4683","183-0003","府中市朝日町3-17-1","35.667866","139.523010","JGD2011","月曜日～日曜日8時30分～19時","","〇","","","","〇",""
"4","晴見町、幸町、府中町、天神町、寿町","府中市地域包括支援センター安立園","ﾌﾁｭｳｼﾁｲｷﾎｳｶﾂｼｴﾝｾﾝﾀｰｱﾝﾘｭｳｴﾝ","042-367-0550","042-367-0560","183-0057","府中市晴見町1-11-2","35.679768","139.479462","JGD2011","月曜日～土曜日8時30分～18時","","〇","","","","〇",""
"5","八幡町、押立町、清水が丘、白糸台（4、5、6丁目）","府中市地域包括支援センターしみずがおか","ﾌﾁｭｳｼﾁｲｷﾎｳｶﾂｼｴﾝｾﾝﾀｰｼﾐｽﾞｶﾞｵｶ","042-363-1661","042-336-1199","183-0015","府中市清水が丘1-3","35.668827","139.493835","JGD2011","月曜日～土曜日8時30分～17時15分","","〇","","","","〇",""
"6","片町、宮西町、宮町、矢崎町、本町、日吉町","府中市地域包括支援センターかたまち","ﾌﾁｭｳｼﾁｲｷﾎｳｶﾂｼｴﾝｾﾝﾀｰｶﾀﾏﾁ","042-336-5831","042-336-5861","183-0021","府中市片町2-14-5","35.669781","139.470657","JGD2011","月曜日～土曜日、第2・4日曜日8時45分～17時15分","","〇","","","","〇",""
"7","新町、栄町","府中市地域包括支援センターしんまち","ﾌﾁｭｳｼﾁｲｷﾎｳｶﾂｼｴﾝｾﾝﾀｰｼﾝﾏﾁ","042-340-5060","042-340-5622","183-0052","府中市新町1-67-2-103","35.687817","139.490509","JGD2011","月曜日～土曜日9時～17時","祝日を除く。","〇","","","","〇",""
"8","緑町、浅間町、若松町（2～5丁目）","府中市地域包括支援センター緑苑","ﾌﾁｭｳｼﾁｲｷﾎｳｶﾂｼｴﾝｾﾝﾀｰﾐﾄﾞﾘｴﾝ","042-367-6215","042-367-1012","183-0006","府中市緑町1-39-3","35.675194","139.488312","JGD2011","月曜日～日曜日8時30分～17時30分","","〇","","","","〇",""
"9","西府町、本宿町、日新町","府中市地域包括支援センターにしふ","ﾌﾁｭｳｼﾁｲｷﾎｳｶﾂｼｴﾝｾﾝﾀｰﾆｼﾌ","042-360-1380","042-360-1387","183-0031","府中市西府町2-24-6","35.674976","139.454041","JGD2011","月曜日～金曜日8時30分～17時30分","","〇","","","","〇",""
"10","是政、小柳町","府中市地域包括支援センターこれまさ","ﾌﾁｭｳｼﾁｲｷﾎｳｶﾂｼｴﾝｾﾝﾀｰｺﾚﾏｻ","042-314-0451","042-314-0452","183-0014","府中市是政2-38-1","35.659153","139.499008","JGD2011","月曜日～土曜日9時～17時","","〇","","","","〇",""
"11","南町","府中市地域包括支援センターみなみ町","ﾌﾁｭｳｼﾁｲｷﾎｳｶﾂｼｴﾝｾﾝﾀｰﾐﾅﾐﾁｮｳ","042-336-1250","042-336-1259","183-0026","府中市南町2-24-2","35.658436","139.465698","JGD2011","月曜日～土曜日、第1・3・5日曜日8時45分～17時15分","","〇","","","","〇",""
"12","全域","府中市福祉保健部高齢者支援課","ﾌﾁｭｳｼﾌｸｼﾎｹﾝﾌﾞｺｳﾚｲｼｬｼｴﾝｶ","042-335-4537","042-335-0090","183-8703","府中市宮西町2-24","35.668858","139.477768","JGD2011","平日8時30分～17時","","","","","〇","〇",""
"13","全域","府中市消費生活センター","ﾌﾁｭｳｼｼｮｳﾋｾｲｶﾂｾﾝﾀｰ","042-360-3316","","183-0023","府中市宮町1-100 ル・シーニュ  6階 市民活動支援センター「プラッツ」内","35.671230","139.481461","JGD2011","平日10時～12時／13時～16時","市民活動支援センター「プラッツ」休館日を除く。","","","","〇","","〇"
