"","ほとんどしない(%)","1時間以内(%)","2時間以内(%)","2時間より長い(%)","3時間以内(%)","3時間より長い(%)","無回答(%)"
"全体／平成24年度","52.2","24.5","7.4","","11.2","","4.7"
"全体／平成25年度","35.0","19.4","13.1","8.6","","8.6","15.3"
"小学校／平成24年度","70.9","16.5","1.7","","1.9","","9.0"
"小学校／平成25年度","50.6","16.3","6.4","2.5","","1.8","22.5"
"中学生／平成24年度","52.9","27.1","7.5","","10.8","","1.7"
"中学生／平成25年度","30.9","24.4","16.0","10.2","","8.6","9.3"
"高校生／平成24年度","16.2","35.6","17.7","","29.3","","1.1"
"高校生／平成25年度","9.9","18.7","21.7","18.6","","21.7","9.4"
"特別支援学校生／平成24年度","55.0","28.8","4.8","","8.3","","3.1"
"特別支援学校生／平成25年度","43.4","23.0","8.6","3.3","","7.2","14.5"
