"","施設総数","１預かる／施設数","１預かる／割合","２預からない／施設数","２預からない／割合","３その他／施設数","３その他／割合","無回答／施設数","無回答／割合",
"認可保育所＊","1588","1560","98.2","2","0.1","10","0.6","16","1.0",
"認証保育所＊","527","504","95.6","1","0.2","14","2.7","8","1.5",
"認定こども園＊","95","91","95.8","","","2","2.1","2","2.1",
"幼稚園＊","666","595","89.3","7","1.1","48","7.2","16","2.4",
"ベビーホテル","331","277","83.7","10","3.0","33","10.0","11","3.3",
"家庭的保育","596","301","50.5","117","19.6","150","25.2","28","4.7",
"学童保育","1169","1145","97.9","2","0.2","3","0.3","19","1.6",
"上記以外の施設","376","332","88.3","9","2.4","27","7.2","8","2.1",
"総数","5348","4805","89.8","148","2.8","287","5.4","108","2.0",
"＊前回調査施設 (再掲）","2876","2750","95.6","10","0.3","74","2.6","42","1.5",
