"","困窮層(％)","周辺層(％)","一般層(％)"
"自分だけの本（学校の教科書やマンガはのぞく）(***)","13.4","8.7","5.8"
"子ども部屋（きょうだいと使っている場合も含む）(***)","35.3","25.8","21.2"
"（自宅で）インターネットにつながるパソコン(X)","24.9","21.0","17.5"
"自宅で宿題をすることができる場所(***)","11.9","2.9","2.5"
"自分専用の勉強机(***)","26.9","20.4","14.8"
"スポーツ用品（野球のグローブや、サッカーボール等）(***)","15.6","6.8","3.7"
"ゲーム機(X)","6.8","6.3","6.6"
"たいていの友だちが持っているおもちゃ(X)","20.7","15.3","14.3"
"自転車(***)","7.7","2.9","1.8"
"おやつや、ちょっとしたおもちゃを買うおこづかい(**)","20.7","14.3","12.0"
"友だちが着ているのと同じような服(**)","13.2","7.7","6.7"
"２足以上のサイズのあった靴(***)","17.6","5.5","3.6"
"携帯電話、スマートフォン(*)","42.0","37.9","33.9"
"携帯音楽プレーヤーなど(**)","56.1","69.1","59.9"
