"支出月","科目","支出目的","支出額(円)","支出相手先"
"H24.4","負担金補助及交付金","福祉・介護人材の処遇改善事業","293026334","国保連"
"H24.4","役務費","福祉・介護人材の処遇改善事業","164080","株式会社１法人"
"H24.5","負担金補助及交付金","福祉・介護人材の処遇改善事業","308545081","国保連"
"H24.6","負担金補助及交付金","福祉・介護人材の処遇改善事業","5727284","国保連"
"H24.6","負担金補助及交付金","福祉・介護人材の処遇改善事業","-567972","社会福祉法人１法人"
"H24.6","役務費","福祉・介護人材の処遇改善事業","424399","株式会社１法人"
"H24.6","負担金補助及交付金","福祉・介護人材の処遇改善事業","-668","株式会社１法人"
"H24.6","負担金補助及交付金","福祉・介護人材の処遇改善事業","-206048","特定非営利活動法人１法人"
"H24.6","役務費","福祉・介護人材の処遇改善事業","1567658","株式会社１法人"
"H24.6","役務費","福祉・介護人材の処遇改善事業","93920","株式会社１法人"
"H24.7","負担金補助及交付金","福祉・介護人材の処遇改善事業","-8743","特定非営利活動法人１法人"
"H24.7","負担金補助及交付金","福祉・介護人材の処遇改善事業","1099559","国保連"
"H24.7","役務費","福祉・介護人材の処遇改善事業","1572373","株式会社１法人"
"H24.8","負担金補助及交付金","福祉・介護人材の処遇改善事業","613695","国保連"
"H24.8","役務費","福祉・介護人材の処遇改善事業","1566086","株式会社１法人"
"H24.8","負担金補助及交付金","福祉・介護人材の処遇改善事業","-649","株式会社１法人"
"H24.8","負担金補助及交付金","福祉・介護人材の処遇改善事業","-20538","特定非営利活動法人１法人"
"H24.8","負担金補助及交付金","福祉・介護人材の処遇改善事業","-284","特定非営利活動法人１法人"
"H24.8","負担金補助及交付金","福祉・介護人材の処遇改善事業","-4411","社会福祉法人１法人"
"H24.8","負担金補助及交付金","福祉・介護人材の処遇改善事業","-199","社会福祉法人１法人"
"H24.8","負担金補助及交付金","福祉・介護人材の処遇改善事業","-128","社会福祉法人１法人"
"H24.8","負担金補助及交付金","福祉・介護人材の処遇改善事業","-246","特定非営利活動法人１法人"
"H24.8","負担金補助及交付金","福祉・介護人材の処遇改善事業","-2680","株式会社１法人"
"H24.8","負担金補助及交付金","福祉・介護人材の処遇改善事業","-2196","有限会社１法人"
"H24.8","負担金補助及交付金","福祉・介護人材の処遇改善事業","-763","社会福祉法人１法人"
"H24.8","負担金補助及交付金","福祉・介護人材の処遇改善事業","-5133","社会福祉法人１法人"
"H24.8","負担金補助及交付金","福祉・介護人材の処遇改善事業","-312","特定非営利活動法人１法人"
"H24.8","負担金補助及交付金","福祉・介護人材の処遇改善事業","-70813","社会福祉法人１法人"
"H24.8","負担金補助及交付金","福祉・介護人材の処遇改善事業","-38520","有限会社１法人"
"H24.8","負担金補助及交付金","福祉・介護人材の処遇改善事業","-57864","株式会社１法人"
"H24.8","負担金補助及交付金","福祉・介護人材の処遇改善事業","-320","株式会社１法人"
"H24.8","負担金補助及交付金","福祉・介護人材の処遇改善事業","-2008","特定非営利活動法人１法人"
"H24.8","負担金補助及交付金","福祉・介護人材の処遇改善事業","-50","社会福祉法人１法人"
"H24.8","負担金補助及交付金","福祉・介護人材の処遇改善事業","-150","社会福祉法人１法人"
"H24.8","負担金補助及交付金","福祉・介護人材の処遇改善事業","-3289","特定非営利活動法人１法人"
