"","具体的な援助を開始するまでの期間","認知症あり、介護必要","認知症あるがほぼ自立","認知症の疑いあり","認知症なし","不明","無回答","合計"
"1","半日（１２時間）未満(回答数)","20","5","4","23","5","0","57"
"1","半日（１２時間）未満(%)","9.3","10.2","6.8","19.7","22.7","","12.3"
"2","半日～１日（２４時間）未満(回答数)","18","4","8","10","3","0","43"
"2","半日～１日（２４時間）未満(%)","8.4","8.2","13.6","8.5","13.6","","9.2"
"3","１日～２日（４８時間）未満(回答数)","15","1","6","9","2","0","33"
"3","１日～２日（４８時間）未満(%)","7.0","2.0","10.2","7.7","9.1","","7.1"
"4","２日～３日未満(回答数)","14","5","3","5","1","0","28"
"4","２日～３日未満(%)","6.5","10.2","5.1","4.3","4.5","","6.0"
"5","３日～１週間未満(回答数)","29","6","9","21","3","0","68"
"5","３日～１週間未満(%)","13.5","12.2","15.3","17.9","13.6","","14.6"
"6","１週間～２週間未満(回答数)","29","6","13","16","1","0","65"
"6","１週間～２週間未満(%)","13.5","12.2","22.0","13.7","4.5","","14.0"
"7","２週間～１ヶ月未満(回答数)","36","7","8","12","0","1","64"
"7","２週間～１ヶ月未満(%)","16.7","14.3","13.6","10.3","","33.3","13.8"
"8","１ヶ月以後(回答数)","40","14","8","11","2","1","76"
"8","１ヶ月以後(%)","18.6","28.6","13.6","9.4","9.1","33.3","16.3"
"9","不明(回答数)","12","0","0","10","3","0","25"
"9","不明(%)","5.6","","","8.5","13.6","","5.4"
"0","無回答(回答数)","2","1","0","0","2","1","6"
"0","無回答(%)","0.9","2.0","","","9.1","33.3","1.3"
"","合計(回答数)","215","49","59","117","22","3","465"
"","合計(%)","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
