"Name","Address","TEL","Area"
"児童相談センター Child Guidance Center","〒169-0074 新宿区北新宿四丁目6番1号 東京都子ども家庭総合センター内 4-6-1 Kita-Shinjuku,Shinjuku-ku","（練馬区、小笠原支庁管内） Nerima-ku,Ogasawara-shicho 電話03－5937－2311／（渋谷、文京、台東、豊島区大島支庁管内） Shibuya-ku,Bunkyo-ku,Taito-ku,Toshima-ku,Oshima-shicho 電話03－5937－2314／（新宿、中央、港、千代田区八丈、三宅支庁管内） Shinjuku-ku,Chuo-ku,Minato-ku,Chiyoda-ku,Hachijo-shicho,Miyake-shicho TEL 03－5937－2317／FAX 03－3366－6036","Chiyoda-ku,Chuo-ku,Minato-ku,Shinjyuku-ku,Bunkyo-ku,Taito-ku,Shibuya-ku,Toshima-ku,Nerima-ku,Izu and Ogasawara islands"
"江東児童相談所 Koto Child Guidance Office","〒135-0051 江東区枝川三丁目6番9号 3-6-9 Edagawa, Koto-ku","03-3640-5432","Sumida-ku,Koto-ku"
"品川児童相談所 Shinagawa Child Guidance Office","〒140-0001 品川区北品川三丁目7番21号 3-7-21 Kita-Shinagawa, Shinagawa-ku","03-3474-5442","Shinagawa-ku,Meguro-ku,Ota-ku"
"杉並児童相談所 Suginami Child Guidance Office","〒167-0052 杉並区南荻窪四丁目23番6号 4-23-6 Minami-Ogikubo, Suginami-ku","03-5370-6001","Suginami-ku,Nakano-ku,Musashino-city,Mitaka-city"
"北児童相談所 Kita Child Guidance Office","〒114-0002 北区王子六丁目1番12号 6-1-12 Oji, Kita-ku","03-3913-5421","Kita-ku,Itabashi-ku"
"足立児童相談所 Adachi Child Guidance Office","〒123-0872 足立区江北三丁目8番12号 3-8-12 Kohoku, Adachi-ku","03-3854-1181","Adachi-ku,Katsushika-ku"
"八王子児童相談所 Hachioji Child Guidance Office","〒193-0931 八王子市台町三丁目17番30号 3-17-30 Daimachi, Hachioji-city","042-624-1141","Hachioji-city,Machida-city,Hino-city"
"立川児童相談所 Tachikawa Child Guidance Office","This office has been relocated to the following address. 〒190-0023 立川市柴崎町二丁目21番19号 2-21-19 Shibasaki-cho, Tachikawa-city","042-523-1321","Tachikawa-city,Ome-city,Akishima-city,Kunitachi-city,Fussa-city,Akiruno-city,Hamura-city,Mizuho-town,Hinode-town,Hinohara-town,Okutama-town"
"小平児童相談所 Kodaira Child Guidance Office","〒187-0002 小平市花小金井一丁目31番24号 1-31-24 Hanakoganei, Kodaira-city","042-467-3711","Kodaira-city,Koganei-city,Higashimurayama-city,Kokubunji-city,Nishitokyo-city,Higashiyamato-city,Kiyose-city,Higashikurume-city,Musashimurayama-city"
"多摩児童相談所 Tama Child Guidance Office","〒206-0024 多摩市諏訪二丁目6番 2-6 Suwa, Tama-city","042-372-5600","Tama-city,Fuchu-city,Chofu-city,Inagi-city,Komae-city"
