"","この１年間の症状／１症状あり／通所（園）している","この１年間の症状／１症状あり／通所（園）していない","この１年間の症状／１症状あり／無回答","この１年間の症状／１症状あり／総数","この１年間の症状／２症状なし／通所（園）している","この１年間の症状／２症状なし／通所（園）していない","この１年間の症状／２症状なし／無回答","この１年間の症状／２症状なし／総数","この１年間の症状／無回答／通所（園）している","この１年間の症状／無回答／通所（園）していない","この１年間の症状／無回答／無回答","この１年間の症状／無回答／総数"
"１呼吸器症状","304","211","45","560","1319","1365","161","2845","8","18","4","30"
"（再掲） 1回の呼吸器症状","23","22","3","48","","","","","","","",""
"2回以上の呼吸器症状","215","152","32","399","","","","","","","",""
"回数無回答","66","37","10","113","","","","","","","",""
"２食物アレルギー","167","155","13","335","1445","1407","191","3043","19","32","6","57"
"３アトピー性皮膚炎","283","220","42","545","1330","1345","161","2836","18","29","7","54"
"４アレルギー性鼻炎","338","254","50","642","1268","1313","154","2735","25","27","6","58"
"５アレルギー性結膜炎","108","100","20","228","1507","1468","185","3160","16","26","5","47"
"６じんましん","216","196","22","434","1394","1369","181","2944","21","29","7","57"
"７その他のアレルギー疾患","32","22","5","59","1571","1538","198","3307","28","34","7","69"
"何らかのアレルギーの症状あり","780","646","95","1521","850","945","114","1909","1","3","1","5" 
