"","終結時又は現在の状況","２日（４８時間）未満","２日～１週間未満","１週間～ １ヶ月未満","１ヶ月以後","不明・無回答","合計"
"1","分離により虐待は解消・軽減した(回答数)","89","29","30","7","21","176"
"1","分離により虐待は解消・軽減した(%)","43.4","32.6","33.3","23.3","41.2","37.8"
"2","分離したが虐待は継続している(回答数)","4","1","3","0","1","9"
"2","分離したが虐待は継続している(%)","2.0","1.1","3.3","","2.0","1.9"
"3","分離はしていないが虐待は解消・軽減した(回答数)","59","20","16","5","8","108"
"3","分離はしていないが虐待は解消・軽減した(%)","28.8","22.5","17.8","16.7","15.7","23.2"
"4","分離はしておらず虐待は継続している(回答数)","9","7","12","4","3","35"
"4","分離はしておらず虐待は継続している(%)","4.4","7.9","13.3","13.3","5.9","7.5"
"5","高齢者本人が介入や援助を拒否した(回答数)","2","4","2","2","0","10"
"5","高齢者本人が介入や援助を拒否した(%)","1.0","4.5","2.2","6.7","","2.2"
"6","虐待者が介入や援助を拒否した(回答数)","5","3","4","0","0","12"
"6","虐待者が介入や援助を拒否した(%)","2.4","3.4","4.4","","","2.6"
"7","虐待者以外の家族が介入や援助を拒否した(回答数)","1","2","0","1","1","5"
"7","虐待者以外の家族が介入や援助を拒否した(%)","0.5","2.2","","3.3","2.0","1.1"
"8","本人死亡(回答数)","9","7","7","2","1","26"
"8","本人死亡(%)","4.4","7.9","7.8","6.7","2.0","5.6"
"9","その他(回答数)","24","13","11","7","11","66"
"9","その他(%)","11.7","14.6","12.2","23.3","21.6","14.2"
"10","不明(回答数)","1","1","1","1","5","9"
"10","不明(%)","0.5","1.1","1.1","3.3","9.8","1.9"
"0","無回答(回答数)","2","2","4","1","0","9"
"0","無回答(%)","1.0","2.2","4.4","3.3","","1.9"
"","合計(回答数)","205","89","90","30","51","465"
"","合計(%)","100.0","100.0","100.0","100.0","100.0","100.0"
