"市・支庁・西多摩福祉事務所","部署係名","電話番号"
"八王子市","福祉部障害者福祉課福祉・自立支援医療担当","042-620-7245"
"立川市","福祉保健部障害福祉課業務係","042-523-2111"
"武蔵野市","健康福祉部障害者福祉課管理係","0422-60-1904"
"三鷹市","健康福祉部障がい者支援課障がい者医療・給付係","0422-45-1151"
"青梅市","健康福祉部障がい者福祉課庶務係","0428-22-1111"
"府中市","福祉保健部障害者福祉課援護係","042-335-4162"
"昭島市","保健福祉部障害福祉課障害福祉係","042-544-5111"
"調布市","福祉健康部障害福祉課給付管理係","042-481-7089"
"町田市","地域福祉部障がい福祉課福祉係","042-724-2148"
"小金井市","福祉保健部自立生活支援課障害福祉係","042-387-9848"
"小平市","健康福祉部障がい者支援課事業推進担当","042-346-9540"
"日野市","健康福祉部障害福祉課福祉係","042-514-8485"
"東村山市","健康福祉部障害支援課給付係","042-393-5111"
"国分寺市","福祉部障害福祉課生活支援係","042-325-0130"
"国立市","健康福祉部しょうがいしゃ支援課手当・給付係","042-576-2111"
"福生市","福祉保健部障害福祉課障害福祉係","042-551-1742"
"狛江市","福祉保健部高齢障がい課障がい者支援係","03-3430-1249"
"東大和市","福祉部障害福祉課庶務係","042-563-2111"
"清瀬市","健康福祉部障害福祉課庶務係","042-497-2072"
"東久留米市","福祉保健部障害福祉課福祉支援係","042-470-7747"
"武蔵村山市","健康福祉部障害福祉課援護第一係","042-590-1185"
"多摩市","健康福祉部障害福祉課障害福祉係","042-338-6903"
"稲城市","福祉部障害福祉課障害福祉係","042-378-2111"
"羽村市","福祉健康部障害福祉課障害福祉係","042-555-1111"
"あきる野市","健康福祉部障がい者支援課障がい者相談係","042-558-1111"
"西東京市","健康福祉部障害福祉課手当助成係","042-438-2806"
"大島支庁","総務課福祉担当","04992-2-4421"
"三宅支庁","総務課福祉担当","04994-2-1311"
"八丈支庁","総務課福祉担当","04996-2-1112"
"小笠原支庁","総務課行政担当","04998-2-3230"
"西多摩福祉事務所","管理担当","0428-22-9375"
