"区分","卒業者(人)","進学者(人)","専修学校等入学者(人)","社会福祉施設入所者(人)","就業者(人)","在家庭者(人)","その他(人)",
"視覚障害/本科/平成27年度","24","7","0","15","2","0","0",
"視覚障害/本科/平成26年度","24","7","2","11","3","1","0",
"視覚障害/専攻科/平成27年度","16","1","0","0","6","9","0",
"視覚障害/専攻科/平成26年度","15","0","0","0","4","10","1",
"聴覚障害/本科/平成27年度","61","38","1","4","16","2","0",
"聴覚障害/本科/平成26年度","48","31","4","6","7","0","0",
"聴覚障害/専攻科/平成27年度","14","0","0","0","14","0","0",
"聴覚障害/専攻科/平成26年度","18","0","0","0","18","0","0",
"肢体不自由/平成27年度","177","10","5","152","4","5","1",
"肢体不自由/平成26年度","195","8","4","170","6","7","0",
"知的障害/平成27年度","1512","1","6","756","702","40","7",
"知的障害/平成26年度","1479","3","13","765","656","40","2",
"病弱/平成27年度","2","0","1","1","0","0","0",
"病弱/平成26年度","2","1","1","0","0","0","0",
"合計/平成27年度","1806","57","13","928","744","56","8",
"合計/平成26年度","1781","50","24","952","694","58","3",
