"支出／科目","支出／支出額(円)","支出／(再掲)介護分(円)","支出／(再掲)後期高齢者支援金等分(円)"
"総務費","13330557195","",""
"保険給付費／一般被保険者分／療養給付費","183850300887","",""
"保険給付費／一般被保険者分／療養費","3103963855","",""
"保険給付費／一般被保険者分／小計","186954264742","",""
"保険給付費／一般被保険者分／高額療養費","17311437604","",""
"保険給付費／一般被保険者分／高額介護合算療養費","141189","",""
"保険給付費／一般被保険者分／移送費","33651","",""
"保険給付費／一般被保険者分／出産育児諸費","4850747588","",""
"保険給付費／一般被保険者分／葬祭諸費","173326000","",""
"保険給付費／一般被保険者分／育児諸費","0","",""
"保険給付費／一般被保険者分／その他","5803027309","",""
"保険給付費／一般被保険者分／計","215092978083","",""
"保険給付費／退職分／療養給付費療養費","0","",""
"保険給付費／退職分／高額療養費","0","",""
"保険給付費／退職分／高額介護合算療養費","0","",""
"保険給付費／退職分／移送費","0","",""
"保険給付費／退職分／小計","0","",""
"保険給付費／審査支払手数料","1078906970","",""
"保険給付費／計","216171885053","",""
"後期高齢者支援金等／後期高齢者支援金","66900840171","",""
"後期高齢者支援金等／事務費拠出金","4617494","",""
"後期高齢者支援金等／計","66905457665","","66905457665"
"前期高齢者納行金等／前期高齢者納付金","26523991946","",""
"前期高齢者納行金等／事務費拠出金","4749417","",""
"前期高齢者納行金等／計","26528741363","",""
"老人保健拠出金／医療費拠出金","0","",""
"老人保健拠出金事務費拠出金","2573289","",""
"老人保健拠出金計","2573289","",""
"介護納付金","31855972890","31855972890",""
"共同事業拠出金／高額医療費共同事業拠出金","4817276000","",""
"共同事業拠出金／保険財政共同安定化事業拠出金","0","",""
"共同事業拠出金／その他","1765000","",""
"保健事業費／特定健康診査等事業費","1816462129","",""
"保健事業費／保健事業費","6636194091","",""
"保健事業費／健康管理センター事業費","1227838691","",""
"直診勘定繰出金","386199386","",""
"その他の支出","8016895617","3397000","8274800"
"小計（単年度支出）","377697818369","31859369890","66913732465"
"単年度収支差引額","9215759862","2249432277","5804626945"
"単年度黒字額（12）","14502129969","",""
"単年度赤字額（10）","5286370107","",""
"基金等積立金","3751933675","",""
"前年度繰上充用金","0","",""
"公債費(組合債費)","0","",""
"支出合計","381449752044","",""
"収支状況／黒字額(21)","44585109507","",""
"収支状況／うち次年度への繰越金","36135875337","",""
"収支状況／うち基金等積立金","12371799072","",""
"収支状況／赤字額(1)","35076074","",""
"収支状況／収支差引額","44550033433","",""
"基金等保有額","107065504570","",""
"市町村債(組合債)残高","0","",""
