"","本年度末現在","本年度末現在／(再掲)未就学児","本年度末現在／(再掲)前期高齢者","本年度末現在／(再掲)70歳以上一般","本年度末現在／(再掲)70歳以上現役並み所得者","年度平均","年度平均／(再掲)未就学児","年度平均／(再掲)前期高齢者","年度平均／(再掲)70歳以上一般","年度平均／(再掲)70歳以上現役並み所得者","転入","社保離脱","生保廃止","出生","後期高齢者離脱","その他","計","転出","社保加入","生保開始","死亡","後期高齢者加入","その他","計","専任","兼任","計","出産育児給付を実施","葬祭給付を実施","傷病手当金","出産手当金","その他の任意給付","法定割合","その他","計","保険料","保険税"
"保険者数(人)","84","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"世帯数","2895160","","","","","2934168","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"被保険者数／総数(人)","4739689","197959","1249174","490529","81424","4834047","189297","1258754","508814","85848","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"被保険者数／退職被保険者等(人)","68755","49","","","","85083","60","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"被保険者数／一般被保険者(人)","4670934","197910","1249174","490529","81424","4748964","189237","1258754","508814","85848","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"介護保険第2号被保険者数(人)","1744459","","","","","1788810","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"標準負担額の減額状況(円)","","","","","","67637","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"被保険者増減内訳／本年度中増(人)","","","","","","","","","","","252564","407841","10611","28803","45","180719","880583","","","","","","","","","","","","","","","","","","","",""
"被保険者増減内訳／本年度中減(人)","","","","","","","","","","","","","","","","","","226321","453857","19563","21499","117124","184015","1022379","","","","","","","","","","","","",""
"本年度末現在事務職員数(人)","","","","","","","","","","","","","","","","","","","","","","","","","2288","346","2634","","","","","","","","","",""
"その他の保険給付実施保険者数(人)","","","","","","","","","","","","","","","","","","","","","","","","","","","","84","84","14","10","5","","","","",""
"一部負担割合保険者数(人)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","75","9","84","",""
"保険料・税別保険者数(人)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","47","37"
