"","調査年","青梅市","青梅市(%)","東大和市","東大和市(%)","八王子市","八王子市(%)","中野区","中野区(%)","豊島区","豊島区(%)","品川区","品川区(%)","足立区","足立区(%)","総計","総計(%)"
"父親回答","６年度","50","5.8","25","4.1","","","31","4.9","54","4.7","36","5.4","","","196","5.0"
"父親回答","７年度","49","5.9","24","4.1","34","5.4","35","6.3","43","5.3","33","5.7","43","6.1","261","5.6"
"父親回答","８年度","45","5.8","29","5.2","27","4.7","28","5.1","39","5.1","30","5.4","39","5.4","237","5.3"
"父親回答","９年度","81","5.6","59","5.1","19","3.5","33","4.2","70","5.4","55","5.3","72","5.3","389","5.1"
"父親回答","度","78","5.8","58","5.1","20","3.6","29","3.9","62","5.2","50","5.2","76","5.7","373","5.1"
"父親回答","度","64","5.1","48","4.4","22","4.3","31","4.6","71","6.3","37","4.2","54","4.3","327","4.8"
"母親回答","６年度","814","94.0","572","94.9","","","601","94.8","1093","94.4","624","94.0","","","3704","94.4"
"母親回答","７年度","775","93.6","551","94.7","589","94.2","517","93.3","769","94.2","544","93.8","654","93.2","4399","93.9"
"母親回答","８年度","725","93.4","520","93.9","545","94.8","516","93.8","714","93.9","526","94.3","671","93.2","4217","93.9"
"母親回答","９年度","1357","93.5","1082","94.1","528","96.2","750","94.6","1219","94.3","975","94.3","1286","94.4","7197","94.3"
"母親回答","度","1265","93.8","1077","94.3","528","95.3","712","95.3","1135","94.4","901","94.1","1244","93.5","6862","94.2"
"母親回答","度","1190","94.4","1026","94.8","488","94.9","644","94.8","1048","92.9","834","95.0","1195","94.6","6425","94.4"
"その他回答","６年度","2","0.2","6","1.0","","","2","0.3","11","0.9","4","0.6","","","25","0.6"
"その他回答","７年度","4","0.5","7","1.2","2","0.3","2","0.4","4","0.5","3","0.5","5","0.7","27","0.6"
"その他回答","８年度","6","0.8","5","0.9","3","0.5","6","1.1","7","0.9","2","0.4","10","1.4","39","0.9"
"その他回答","９年度","13","0.9","9","0.8","2","0.4","10","1.3","4","0.3","4","0.4","4","0.3","46","0.6"
"その他回答","度","6","0.4","7","0.6","6","1.1","6","0.8","5","0.4","6","0.6","10","0.8","46","0.6"
"その他回答","度","6","0.5","8","0.7","4","0.8","4","0.6","9","0.8","7","0.8","14","1.1","52","0.8"
