"項目","１６年度実施予定","２１年度目標","担当局"
"子ども家庭支援センター事業","４４区市町村（51か所）","６２区市町村※","福祉保健局"
"先駆型子ども家庭支援センター事業","８区市（子ども家庭支援センターの内数）","４９区市※","福祉保健局"
"子ども家庭総合センター（仮称）の整備","","２１年度開設","福祉保健局"
"子育てひろば事業","３７３か所","６３１か所","福祉保健局"
"要支援家庭の早期発見・予防事業","","全区市町村において子育て支援のネットワークにつなげる体制の整備","福祉保健局"
"ショートステイ","２７区市","６２区市町村","福祉保健局"
"一時保育・特定保育","４１区市町","６２区市町村","福祉保健局"
"トワイライトステイ等","１２区市","４９区市","福祉保健局"
"訪問型一時保育","３区","４９区市","福祉保健局"
"育児支援ヘルパー事業","","４９区市","福祉保健局"
"ファミリー・サポートセンター事業","４０か所","５０か所（設立区市町村数）","産業労働局"
"小児救急医療体制の充実（初期救急）","８区３市","＜18年度＞ 都内全域で実施","福祉保健局"
"小児救急医療体制の充実（二次救急）","４９施設７５床","60施設70床程度","福祉保健局"
"周産期医療対策事業","NICU１８６床","＜18年度＞NICU ２００床","福祉保健局"
"小児総合医療センター（仮称）の整備","","２１年度開設／入院 600床／外来 1日750人程度","病院経営本部"
"通常保育事業","保育サービスの利用児童数 １６４９４０人","保育サービスの利用児童数 １８４７００人","福祉保健局"
"夜間保育事業","2か所","4か所","福祉保健局"
"延長保育事業","都内全認可保育所実施率 7割弱（内２時間以上延長は0.7 割）","都内全認可保育所実施率 １０割（内２時間以上延長２割）＊","福祉保健局"
"休日保育事業","１４区市","４９区市","福祉保健局"
"病後児保育事業","３２区市","４９区市","福祉保健局"
"学童クラブ運営費補助事業","１３１１か所","１４１７か所","福祉保健局"
"広域スポーツクラブの育成・支援事業・体育振興事業","２９クラブ","９０クラブ","教育庁"
"養育家庭の拡充","委託児童数 ３１８人（17年２月現在）","１９年度までに家庭的養護（養育家庭及びグループホーム）を社会的養護の３割（養育家庭委託児童数４２０人）","福祉保健局"
"養護児童グループホームの設置推進","４１ホーム 243人（17年２月現在）","１９年度までに家庭的養護（養育家庭及びグループホーム）を社会的養護の３割（100ホーム ６００人）","福祉保健局"
"母子家庭自立支援教育訓練給付金事業","８区市・１３町村","都内全域での実施","福祉保健局"
"母子家庭高等技能訓練促進費事業","６区市・１３町村","都内全域での実施","福祉保健局"
"母子家庭常用雇用転換奨励金事業","２区市・１３町村","都内全域での実施","福祉保健局"
"知的障害の軽い生徒を対象とした養護学校高等部の設置","","＜２２年度＞３校","教育庁"
"病弱養護学校高等部の設置","","高等部 １校","教育庁"
"中高一貫型ろう学校の設置","","１校","教育庁"
"東部療育センターの整備","","＜17年度一次開設＞入所・入院　６０床／外来診療１日当たり　９０人／＜18年度全面開設＞入所・入院　１２０床／外来診療１日当たり　１００人／通所事業1日当たり　30人","福祉保健局"
"歩車分離式信号機の導入","４２か所","平成17年度は既存の整備計画の枠内で実施、平成18年度以降は平成17年度の実施結果及び実態調査結果を踏まえて策定","警視庁"
"歩行者感応式信号機等の整備","４２か所","平成17年度は既存の整備計画の枠内で実施、平成18年度以降は平成17年度の実施結果及び実態調査結果を踏まえて策定","警視庁"
"鉄道駅エレベーター等整備事業","１２６駅（各年度における補助対象駅の合計）","＜22年度＞エレベーター等が必要な都内全駅に整備","福祉保健局"
"駅施設のバリアフリー化（エレベーターの設置）","エレベーターによる１ルートの確保 ６４駅/１０６駅","＜１８年度＞ ７７駅/１０６駅／＊","交通局"
"駅施設のバリアフリー化（エスカレーターの設置）","１０３駅―７４７基","＜１８年度＞ １０３駅―７６５基","交通局"
"駅施設のバリアフリー化（だれでもトイレの設置）","１００駅/１０６駅","＜１８年度＞全駅に整備","交通局"
