"基金名称","介護職員処遇改善等臨時特例基金＜(5)定期借地権利用による整備促進特別対策事業（基本事業）＞"
"基金設置法人名","東京都"
"A／基金造成のための国からの交付決定額（平成21年度補正予算）（運用収入を含む。）(百万円)","957"
"A／基金造成のための国からの交付決定額（平成21年度補正予算）（運用収入を含む。）／（国からの交付決定額）(百万円)","957"
"A／基金造成のための国からの交付決定額（平成21年度補正予算）（運用収入を含む。）／（運用収入額）(百万円)","0"
"B／平成22年度下半期終了時におけるAの金額の残高（A-C）(百万円)","784"
"C／執行（支出）済み額(百万円)","173"
"E／翌半期以降の執行見込みについて","平成23年度上半期については、（福）清風会外１法人に対し321百万円を交付予定。平成23年度下半期についても、順次交付予定（金額未定）。"
"E／（執行見込額）(百万円)","321"
"執行済み額（C)の平成22年度上半期合計(百万円)","0"
"執行済み額（C)の平成22年度下半期合計(百万円)","137"
