"名称","開設時間","休館日","電話番号","FAX番号","住所","緯度","経度","座標系"
"八王子市子ども家庭支援センター","午前9時から午後7時、日曜日・祝休日は午後5時まで","毎月第1火曜日・年末年始","042-656-8225","042-656-8226","八王子市東町五丁目6番クリエイトホール地下1階","35.658527","139.339554","JGD2011"
"立川市子ども家庭支援センター","午前9時から午後5時","日曜日・祝日・年末年始","042-528-6871（虐待通告専用042-528-4338）","042-528-6875","立川市錦町三丁目2番26号","35.693916","139.418854","JGD2011"
"武蔵野市子ども家庭支援センター","電話相談午前8時30分から午後10時（来所訪問相談午前8時30分から午後5時）","日曜日・祝日・年末年始（来所訪問相談は土曜日も休み）","0422-55-9002（フリーダイヤル0120-839-002）","0422-51-9417","武蔵野市緑町二丁目2番28号武蔵野市役所3階","35.717499","139.566452","JGD2011"
"三鷹市子ども家庭支援センターりぼん","午前8時30分から午後5時","土曜日・日曜日・祝日・年末年始","0422-40-5925","0422-29-9667","三鷹市下連雀9－11－7三鷹市教育センター2階","35.684196","139.559494","JGD2011"
"青梅市子ども家庭支援センター","午前8時30分から午後5時","土曜日･日曜日･祝日・年末年始","0428-24-2126","0428-22-3508","青梅市東青梅一丁目11番1号青梅市役所3階","35.788086","139.275269","JGD2011"
"府中市子ども家庭支援センター","午前10時から午後8時","年末年始・臨時休館日","042-354-8701","042-352-2524","府中市宮町一丁目50番くるる3階","35.671555","139.480728","JGD2011"
"昭島市子ども家庭支援センター","午前9時から午後7時","土曜日・日曜日・祝日・年末年始","042-543-9046（子ども専用ダイヤル0120-678-044）","","昭島市つつじが丘3－3－15アキシマエンシス校舎棟1階","35.714115","139.369476","JGD2011"
"調布市子ども家庭支援センターすこやか","午前9時から午後5時","第3土曜日とその翌日・年末年始","042-481-7731（虐待防止ホットライン0120-087-358）","042-481-7734","調布市国領町三丁目1番38号ココスクエア2階","35.649574","139.558685","JGD2011"
"町田市子ども家庭支援センター","午前8時30分から午後5時","土曜日・日曜日・祝日・年末年始","042-724-4419／0120-552-164（子ども専用相談ダイヤル）","050-3101-9631","町田市森野二丁目2番22号庁舎2階","35.547039","139.438141","JGD2011"
"小金井市子ども家庭支援センター","午前9時から午後5時（ひろばは午前10時から午後4時）","日曜日・祝日・年末年始（ひろばは月曜日も休み）","042-321-3146","042-321-3190","小金井市貫井北町五丁目18番18号保健センター1階","35.702000","139.490250","JGD2011"
"小平市子ども家庭支援センター","午前10時から午後6時","日曜日・月曜日・祝日・年末年始","042-348-2102（虐待相談専用042-347-3192）","042-348-2101","小平市小川東町四丁目2番1号小平元気村おがわ東2階","35.739990","139.474518","JGD2011"
"日野市立子ども家庭支援センター","午前9時から午後5時45分","日曜日・祝日・年末年始","042-599-6670（児童虐待専用042-599-5454）","042-599-6671","日野市高幡1009番地の4京王アンフィール高幡3階","35.660946","139.414429","JGD2011"
"東村山市子ども家庭支援センター","午前9時から午後5時","土曜日･日曜日・祝日・年末年始","042-393-5111（相談専用042-390-2271）","042-390-2270","東村山市本町一丁目2番3号いきいきプラザ3階","35.754490","139.468414","JGD2011"
"国分寺市子ども家庭支援センター","午前9時30分から午後5時、第2･第4木曜日は午後1時まで","日曜日・月曜日・祝日・年末年始","042-572-8138／子ども専用相談電話0800-800-9033（フリーダイヤル）／042-572-3725（有料）","042-572-0481","国分寺市光町三丁目13番20号","35.708000","139.442963","JGD2011"
"国立市子ども家庭支援センター","午前8時30分から午後5時","日曜日・祝日・年末年始","042-573-0965","042-574-5841","国立市富士見台三丁目21番1号","35.685879","139.435150","JGD2011"
"福生市子ども家庭支援センター","午前8時30分から午後5時15分","日曜日・祝日・年末年始","042-539-2555","042-553-5080","福生市北田園二丁目5番7号子ども応援館1階","35.734287","139.323090","JGD2011"
"狛江市子ども家庭支援センター","午前9時から午後6時","日曜日・祝日・年末年始","03-5438-6605（相談専用）03-5438-6606","03-5761-9089","狛江市元和泉1－11－11ひだまりセンター1階","35.631226","139.575882","JGD2011"
"東大和市子ども家庭支援センター","午前8時30分から午後5時15分","日曜日・祝日・年末年始","042-565-3651","042-565-3652","東大和市立野一丁目16番1号","35.744541","139.421631","JGD2011"
"清瀬市子ども家庭支援センター","午前8時30分から午後5時15分","火曜日・年末年始","042-495-7701","042-495-7702","清瀬市中清戸三丁目235番5号清瀬市児童センター内","35.777122","139.531647","JGD2011"
"東久留米市子ども家庭支援センター","午前8時30分から午後5時","日曜日・祝日・年末年始","042-471-0910","","東久留米市滝山四丁目3番14号わくわく健康プラザ南棟2階","35.742264","139.503891","JGD2011"
"武蔵村山市子ども家庭支援センター","午前8時30分から午後7時","日曜日・祝日・年末年始","042-590-1152","042-590-1226","武蔵村山市学園四丁目5番1号武蔵村山市民総合センター内","35.746132","139.403259","JGD2011"
"多摩市子ども家庭支援センター","午前8時30分から午後6時","日曜日・祝日・年末年始","042-355-3777","042-355-3433","多摩市豊ヶ丘一丁目21番3号","35.627644","139.429886","JGD2011"
"稲城市子ども家庭支援センター","午前8時30分から午後5時","土曜日・日曜日・祝日・年末年始","042-378-6366","042-378-8900","稲城市東長沼2115番2号","35.648701","139.500854","JGD2011"
"羽村市子ども家庭支援センター","午前8時30分から午後5時","土曜日・日曜日・祝日・年末年始","042-578-2882","042-578-2882","羽村市緑ヶ丘五丁目2番1号羽村市役所2階","35.767506","139.310928","JGD2011"
