"変数名","オッズ比","95%信頼区間／下限","95%信頼区間／上限","99%信頼区間／下限","99%信頼区間／上限","p値"
"1)年齢","0.959","0.935","0.984","0.928","0.991","0.00113"
"2)居住年数","1.011","0.997","1.025","0.993","1.029","0.1126"
"3)性別","","","","","","0.00983"
"3)性別／男","1","","","","",""
"3)性別／女","0.511","0.307","0.851","0.262","0.999",""
"4)都市区分","","","","","","0.14059"
"4)都市区分／多摩市","1","","","","",""
"4)都市区分／その他","2.152","0.777","5.962","0.564","8.213",""
"5)本人アレルギー","","","","","","0.00037"
"5)本人アレルギー／なし","1","","","","",""
"5)本人アレルギー／あり","2.698","1.561","4.66","1.315","5.534",""
"6)家族アレルギー","","","","","","0.00479"
"6)家族アレルギー／なし","1","","","","",""
"6)家族アレルギー／あり","1.924","1.221","3.031","1.059","3.496",""
"7)住宅構造","","","","","","0.75879"
"7)住宅構造／木造","1","","","","",""
"7)住宅構造／鉄筋・鉄骨","1.073","0.685","1.681","0.594","1.936",""
"8)じゅうたん・カ－ペットの使用","","","","","","0.31556"
"8)じゅうたん・カ－ペットの使用／なし","1","","","","",""
"8)じゅうたん・カ－ペットの使用／あり","1.251","0.808","1.938","0.704","2.224",""
"9)居間・寝室のカビ","","","","","","0.56719"
"9)居間・寝室のカビ／なし","1","","","","",""
"9)居間・寝室のカビ／あり","0.837","0.455","1.539","0.376","1.864",""
"10)部屋の窓（換気）","","","","","","0.61963"
"10)部屋の窓（換気）／よく開ける","1","","","","",""
"10)部屋の窓（換気）／開けない","0.859","0.471","1.567","0.39","1.892",""
"11)暖房形態","","","","","","0.01972"
"11)暖房形態／クリーン型","1","","","","",""
"11)暖房形態／ダーティ型","0.593","0.382","0.92","0.333","1.056",""
"12)暖房中の換気","","","","","","0.6508"
"12)暖房中の換気／あり","1","","","","",""
"12)暖房中の換気／なし","0.875","0.492","1.558","0.41","1.868",""
"13)暖房器具の熱源","","","","","","0.68313"
"13)暖房器具の熱源／電気","1","","","","",""
"13)暖房器具の熱源／ガス","0.823","0.323","2.096","0.241","2.811",""
"14)ペットの室内飼育","","","","","","0.35881"
"14)ペットの室内飼育／なし","1","","","","",""
"14)ペットの室内飼育／あり","1.251","0.775","2.018","0.667","2.345",""
"15)粉塵職場の経験","","","","","","0.76487"
"15)粉塵職場の経験／なし","1","","","","",""
"15)粉塵職場の経験／あり","1.162","0.434","3.11","0.319","4.238",""
"16)自動車排ガス関連の職業経験","","","","","","0.73292"
"16)自動車排ガス関連の職業経験／なし","1","","","","",""
"16)自動車排ガス関連の職業経験／あり","1.149","0.518","2.549","0.403","3.274",""
"17)喫煙習慣","","","","","","0.78886"
"17)喫煙習慣／非喫煙","1","","","","",""
"17)喫煙習慣／以前喫煙","0.804","0.426","1.518","0.349","1.853",""
"17)喫煙習慣／現喫煙","0.962","0.569","1.627","0.483","1.919",""
"18)家庭内受動喫煙","","","","","","0.45346"
"18)家庭内受動喫煙／なし","1","","","","",""
"18)家庭内受動喫煙／あり","1.206","0.739","1.969","0.634","2.296",""
"19)職場の受動喫煙","","","","","","0.35056"
"19)職場の受動喫煙／なし","1","","","","",""
"19)職場の受動喫煙／あり","0.774","0.452","1.326","0.381","1.57",""
"20)距離区分","","","","","","0.58917"
"20)距離区分／201m以上","1","","","","",""
"20)距離区分／0～50m","0.793","0.411","1.528","0.335","1.877",""
"20)距離区分／51～100m","1.186","0.644","2.186","0.531","2.649",""
"20)距離区分／101～150m","0.862","0.43","1.729","0.345","2.151",""
"20)距離区分／151～200m","0.536","0.211","1.367","0.157","1.834",""
