"変数名","オッズ比","95%信頼区間／下限","95%信頼区間／上限","99%信頼区間／下限","99%信頼区間／上限","p値"
"1)年齢","1","0.978","1.022","0.971","1.029","0.96966"
"2)居住年数","0.99","0.976","1.003","0.972","1.007","0.12534"
"3)性別","","","","","","0.93466"
"3)性別／男","1","","","","",""
"3)性別／女","0.981","0.619","1.555","0.535","1.798",""
"4)都市区分","","","","","","0.84265"
"4)都市区分／多摩市","1","","","","",""
"4)都市区分／その他","0.937","0.491","1.787","0.401","2.189",""
"5)本人アレルギー","","","","","","0"
"5)本人アレルギー／なし","1","","","","",""
"5)本人アレルギー／あり","5.138","2.925","9.027","2.45","10.776",""
"6)家族アレルギー","","","","","","0.39378"
"6)家族アレルギー／なし","1","","","","",""
"6)家族アレルギー／あり","1.185","0.802","1.752","0.709","1.981",""
"7)住宅構造","","","","","","0.71385"
"7)住宅構造／木造","1","","","","",""
"7)住宅構造／鉄筋・鉄骨","1.077","0.725","1.6","0.64","1.811",""
"8)じゅうたん・カ－ペットの使用","","","","","","0.0005"
"8)じゅうたん・カ－ペットの使用／なし","1","","","","",""
"8)じゅうたん・カ－ペットの使用／あり","0.508","0.347","0.744","0.308","0.838",""
"9)居間・寝室のカビ","","","","","","0.0191"
"9)居間・寝室のカビ／なし","1","","","","",""
"9)居間・寝室のカビ／あり","1.716","1.092","2.696","0.948","3.108",""
"10)部屋の窓（換気）","","","","","","0.65413"
"10)部屋の窓（換気）／よく開ける","1","","","","",""
"10)部屋の窓（換気）／開けない","1.117","0.688","1.813","0.591","2.111",""
"11)暖房形態","","","","","","0.9195"
"11)暖房形態／クリーン型","1","","","","",""
"11)暖房形態／ダーティ型","0.979","0.65","1.475","0.571","1.678",""
"12)暖房中の換気","","","","","","0.9263"
"12)暖房中の換気／あり","1","","","","",""
"12)暖房中の換気／なし","0.977","0.597","1.599","0.512","1.866",""
"13)暖房器具の熱源","","","","","","0.30118"
"13)暖房器具の熱源／電気","1","","","","",""
"13)暖房器具の熱源／ガス","0.67","0.314","1.431","0.248","1.816",""
"14)ペットの室内飼育","","","","","","0.14141"
"14)ペットの室内飼育／なし","1","","","","",""
"14)ペットの室内飼育／あり","1.369","0.901","2.081","0.79","2.374",""
"15)粉塵職場の経験","","","","","","0.741"
"15)粉塵職場の経験／なし","1","","","","",""
"15)粉塵職場の経験／あり","1.178","0.445","3.121","0.328","4.238",""
"16)自動車排ガス関連の職業経験","","","","","","0.87998"
"16)自動車排ガス関連の職業経験／なし","1","","","","",""
"16)自動車排ガス関連の職業経験／あり","1.06","0.499","2.252","0.393","2.854",""
"17)喫煙習慣","","","","","","0.99848"
"17)喫煙習慣／非喫煙","1","","","","",""
"17)喫煙習慣／以前喫煙","0.985","0.565","1.719","0.474","2.047",""
"17)喫煙習慣／現喫煙","0.991","0.613","1.604","0.527","1.867",""
"18)家庭内受動喫煙","","","","","","0.89489"
"18)家庭内受動喫煙／なし","1","","","","",""
"18)家庭内受動喫煙／あり","0.971","0.63","1.498","0.549","1.717",""
"19)職場の受動喫煙","","","","","","0.61544"
"19)職場の受動喫煙／なし","1","","","","",""
"19)職場の受動喫煙／あり","1.124","0.713","1.77","0.618","2.042",""
"20)距離区分","","","","","","0.12335"
"20)距離区分／201m以上","1","","","","",""
"20)距離区分／0～50m","1.457","0.853","2.488","0.721","2.944",""
"20)距離区分／51～100m","1.229","0.668","2.264","0.551","2.742",""
"20)距離区分／101～150m","2.013","1.184","3.421","1.002","4.042",""
"20)距離区分／151～200m","1.142","0.583","2.238","0.472","2.765",""
