"区市町村通番","所管地域","名称","ヨミガナ","電話番号","ＦＡＸ番号","郵便番号","住所","緯度","経度","座標系","対応時間帯","特記事項","施設種別／地域包括支援センター","施設種別／ブランチ・サブセンター","施設種別／在宅介護支援センター","施設種別／その他相談窓口","相談内容／高齢者の異変","相談内容／消費者被害のおそれ"
"1","南千住2・3・4・8丁目","南千住東部高齢者みまもりステーション","ﾐﾅﾐｾﾝｼﾞｭﾄｳﾌﾞｺｳﾚｲｼｬﾐﾏﾓﾘｽﾃｰｼｮﾝ","03-3805-5705","03-3805-5702","116-0003","荒川区南千住4-9-6 南千住中部在宅高齢者通所サービスセンター内","35.730152","139.796661","JGD2011","平日9時～17時","高齢者福祉課","","","","〇","〇",""
"2","南千住2・3・4・8丁目","南千住東部地域包括支援センター","ﾐﾅﾐｾﾝｼﾞｭﾄｳﾌﾞﾁｲｷﾎｳｶﾂｼｴﾝｾﾝﾀｰ","03-3805-5702","03-3805-5702","116-0003","荒川区南千住4-9-6 南千住中部在宅高齢者通所サービスセンター内","35.730152","139.796661","JGD2011","平日、土曜日9時～17時","高齢者福祉課","〇","","","","〇",""
"3","南千住1・5・6・7丁目","南千住西部高齢者みまもりステーション","ﾐﾅﾐｾﾝｼﾞｭｾｲﾌﾞｺｳﾚｲｼｬﾐﾏﾓﾘｽﾃｰｼｮﾝ","03-5604-5760","03-5604-5762","116-0003","荒川区南千住1-10-1 第一コーポ1階","35.732430","139.790939","JGD2011","平日9時～17時","高齢者福祉課","","","","〇","〇",""
"4","南千住1・5・6・7丁目","南千住西部地域包括支援センター","ﾐﾅﾐｾﾝｼﾞｭｾｲﾌﾞﾁｲｷﾎｳｶﾂｼｴﾝｾﾝﾀｰ","03-5604-5710","03-5604-5762","116-0003","荒川区南千住1-10-1 第一コーポ1階","35.732430","139.790939","JGD2011","平日、土曜日9時～17時","高齢者福祉課","〇","","","","〇",""
"5","荒川地区","荒川高齢者みまもりステーション","ｱﾗｶﾜｺｳﾚｲｼｬﾐﾏﾓﾘｽﾃｰｼｮﾝ","03-5855-0324","03-5855-3324","116-0002","荒川区荒川5-47-2 花の木ハイム荒川内","35.739952","139.776016","JGD2011","平日9時～17時","高齢者福祉課","","","","〇","〇",""
"6","荒川地区","荒川地域包括支援センター","ｱﾗｶﾜﾁｲｷﾎｳｶﾂｼｴﾝｾﾝﾀｰ","03-5855-3323","03-5855-3324","116-0002","荒川区荒川5-47-2 花の木ハイム荒川内","35.739952","139.776016","JGD2011","平日、土曜日9時～17時","高齢者福祉課","〇","","","","〇",""
"7","町屋地区","町屋高齢者みまもりステーション","ﾏﾁﾔｺｳﾚｲｼｬﾐﾏﾓﾘｽﾃｰｼｮﾝ","03-5855-6407","03-3894-3562","116-0001","荒川区町屋7-10-6 さくら館内","35.749084","139.786621","JGD2011","平日9時～17時","高齢者福祉課","","","","〇","〇",""
"8","町屋地区","町屋地域包括支援センター","ﾏﾁﾔﾁｲｷﾎｳｶﾂｼｴﾝｾﾝﾀｰ","03-3894-3568","03-3894-3562","116-0001","荒川区町屋7-10-6 さくら館内","35.749084","139.786621","JGD2011","平日、土曜日9時～17時","高齢者福祉課","〇","","","","〇",""
"9","東尾久地区","東尾久高齢者みまもりステーション","ﾋｶﾞｼｵｸﾞｺｳﾚｲｼｬﾐﾏﾓﾘｽﾃｰｼｮﾝ","03-5855-8514","03-3892-1650","116-0012","荒川区東尾久3-31-8 101号","35.746899","139.770142","JGD2011","平日9時～17時","高齢者福祉課","","","","〇","〇",""
"10","東尾久地区","東尾久地域包括支援センター","ﾋｶﾞｼｵｸﾞﾁｲｷﾎｳｶﾂｼｴﾝｾﾝﾀｰ","03-5855-8513","03-3892-1650","116-0012","荒川区東尾久3-31-8 101号","35.746899","139.770142","JGD2011","平日、土曜日9時～17時","高齢者福祉課","〇","","","","〇",""
