"","調査年","青梅市","青梅市(%)","東大和市","東大和市(%)","八王子市","八王子市(%)","中野区","中野区(%)","豊島区","豊島区(%)","品川区","品川区(%)","足立区","足立区(%)","総計","総計(%)"
"対象数","６年度","866","","603","","","","634","","1158","","664","","","","3925",""
"対象数","７年度","828","","582","","625","","554","","816","","580","","702","","4687",""
"対象数","８年度","776","","554","","575","","550","","760","","558","","720","","4493",""
"対象数","９年度","1451","","1150","","549","","793","","1293","","1034","","1362","","7632",""
"対象数","度","1349","","1142","","554","","747","","1202","","957","","1330","","7281",""
"対象数","度","1260","","1082","","514","","679","","1128","","878","","1263","","6804",""
"３年未満","６年度","83","9.6","63","10.4","","","77","12.1","114","9.8","82","12.3","","","419","10.7"
"３年未満","７年度","75","9.1","74","12.7","97","15.5","72","13.0","83","10.2","50","8.6","77","11.0","528","11.3"
"３年未満","８年度","103","13.3","77","13.9","89","15.5","92","16.7","86","11.3","63","11.3","95","13.2","605","13.5"
"３年未満","９年度","272","18.7","251","21.8","103","18.8","172","21.7","249","19.3","175","16.9","264","19.4","1486","19.5"
"３年未満","度","235","17.4","244","21.4","108","19.5","162","21.7","218","18.1","159","16.6","259","19.5","1385","19.0"
"３年未満","度","226","17.9","164","15.2","90","17.5","147","21.6","226","20.0","179","20.4","204","16.2","1236","18.2"
"転居歴なし","６年度","372","43.0","237","39.3","","","270","42.6","598","51.6","294","44.3","","","1771","45.1"
"転居歴なし","７年度","348","42.0","227","39.0","255","40.8","228","41.2","429","52.6","271","46.7","363","51.7","2121","45.3"
"転居歴なし","８年度","302","38.9","214","38.6","237","41.2","214","38.9","374","49.2","265","47.5","338","46.9","1944","43.3"
"転居歴なし","９年度","556","38.3","437","38.0","212","38.6","290","36.6","582","45.0","451","43.6","645","47.4","3173","41.6"
"転居歴なし","度","504","37.4","396","34.7","197","35.6","247","33.1","512","42.6","392","41.0","584","43.9","2832","38.9"
"転居歴なし","度","465","36.9","356","32.9","177","34.4","207","30.5","448","39.7","335","38.2","532","42.1","2520","37.0"
