"上段：度数／下段：%","n=","大変満足","満足","やや満足","どちらともいえない","やや不満","不満","非常に不満","無回答","平均値"
"ＴＯＴＡＬ","8214","276","610","558","941","726","724","883","3496","-0.5"
"ＴＯＴＡＬ","100","3.4","7.4","6.8","11.5","8.8","8.8","10.7","42.6",""
"性別・年代／女性計","7526","257","568","516","845","674","665","812","3189","-0.5"
"性別・年代／女性計","100","3.4","7.5","6.9","11.2","9.0","8.8","10.8","42.4",""
"性別・年代／女性２０代","3297","99","187","183","364","248","282","410","1524","-0.7"
"性別・年代／女性２０代","100","3.0","5.7","5.6","11.0","7.5","8.6","12.4","46.2",""
"性別・年代／女性３０代","1612","56","139","102","174","147","159","185","650","-0.5"
"性別・年代／女性３０代","100","3.5","8.6","6.3","10.8","9.1","9.9","11.5","40.3",""
"性別・年代／女性４０代","1560","66","143","127","190","149","120","141","624","-0.2"
"性別・年代／女性４０代","100","4.2","9.2","8.1","12.2","9.6","7.7","9.0","40.0",""
"性別・年代／女性５０代以上","1005","33","96","101","108","128","98","71","370","-0.2"
"性別・年代／女性５０代以上","100","3.3","9.6","10.0","10.7","12.7","9.8","7.1","36.8",""
"性別・年代／男性計","380","11","19","18","49","23","35","40","185","-0.6"
"性別・年代／男性計","100","2.9","5.0","4.7","12.9","6.1","9.2","10.5","48.7",""
"性別・年代／男性２０代","281","9","14","10","40","13","30","25","140","-0.6"
"性別・年代／男性２０代","100","3.2","5.0","3.6","14.2","4.6","10.7","8.9","49.8",""
"性別・年代／男性３０代以上","99","2","5","8","9","10","5","15","45","-0.8"
"性別・年代／男性３０代以上","100","2.0","5.1","8.1","9.1","10.1","5.1","15.2","45.5",""
"性別・年代／無回答","308","8","23","24","47","29","24","31","122","-0.4"
"性別・年代／無回答","100","2.6","7.5","7.8","15.3","9.4","7.8","10.1","39.6",""
