"","件数","(うち調査対象年度内に通報・相談)","(うち調査対象年度以前に通報・相談)","構成割合(%)"
"事実確認調査を行った事例","3227","3029","198","99.1"
"事実確認調査を行った事例／立入調査以外の方法により調査を行った事例","3211","3013","198","98.6"
"事実確認調査を行った事例／立入調査以外の方法により調査を行った事例／訪問調査を行った事例","2538","2373","165","78.0"
"事実確認調査を行った事例／立入調査以外の方法により調査を行った事例／関係者からの情報収集のみで調査を行った事例","673","640","33","20.7"
"事実確認調査を行った事例／立入調査により調査を行った事例","16","16","0","0.5"
"事実確認調査を行った事例／立入調査により調査を行った事例／警察が同行した事例","9","9","0","0.3"
"事実確認調査を行った事例／立入調査により調査を行った事例／警察に援助要請したが同行はなかった事例","0","0","0","0.0"
"事実確認調査を行った事例／立入調査により調査を行った事例／援助要請をしなかった事例","7","7","0","0.2"
"事実確認調査を行っていない事例","28","27","1","0.9"
"事実確認調査を行っていない事例／相談・通報を受理した段階で、明らかに虐待ではなく事実確認調査不要と判断した事例","12","11","1","0.4"
"事実確認調査を行っていない事例／相談・通報を受理し、後日、事実確認調査を予定している又は事実確認調査の要否を検討中の事例","16","16","0","0.5"
"合計","3255","3056","199",""
