"","木枠","木造アルミ","鉄筋一戸","木造集合","鉄筋集合"
"対象者数","756","5135","1087","640","5991"
"症状１","720","4883","1032","618","5681"
"%","95.24","95.09","94.94","96.56","94.83"
"症状２","724","4960","1047","618","5750"
"%","95.77","96.59","96.32","96.56","95.98"
"症状３","681","4737","1002","579","5497"
"%","90.08","92.25","92.18","90.47","91.75"
"症状４","685","4639","983","579","5452"
"%","90.61","90.34","90.43","90.47","91"
"症状５","739","5027","1052","621","5834"
"%","97.75","97.9","96.78","97.03","97.38"
"（軽症）間欠型","188","1299","255","131","1408"
"%","24.87","25.3","23.46","20.47","23.5"
"軽症持続型","256","1890","406","238","2296"
"%","33.86","36.81","37.35","37.19","38.32"
"中等症持続型","249","1517","345","213","1823"
"%","32.94","29.54","31.74","33.28","30.43"
"重症持続型","61","415","81","57","447"
"%","8.07","8.08","7.45","8.91","7.46"
"アレ・ダニ・陽性","478","3381","682","478","4250"
"%","63.23","65.84","62.74","74.69","70.94"
"アレ・ダニ・擬陽性","17","106","33","11","102"
"%","2.25","2.06","3.04","1.72","1.7"
"アレ・ダニ・陰性","222","1422","307","124","1399"
"%","29.37","27.69","28.24","19.38","23.35"
"アレ・ハウスダスト・陽性","446","3158","660","444","4004"
"%","58.99","61.5","60.72","69.38","66.83"
"アレ・ハウスダスト・擬陽性","15","114","27","13","101"
"%","1.98","2.22","2.48","2.03","1.69"
"アレ・ハウスダスト・陰性","211","1360","302","123","1373"
"%","27.91","26.48","27.78","19.22","22.92"
