"対象疾病","検査方法"
"フェニルケトン尿症","タンデム質量分析法（タンデムマス法）、液体クロマトグラフィータンデム質量分析法(LC/MS/MS)"
"メープルシロップ尿症","タンデム質量分析法（タンデムマス法）、液体クロマトグラフィータンデム質量分析法(LC/MS/MS)"
"ホモシスチン尿症","タンデム質量分析法（タンデムマス法）、液体クロマトグラフィータンデム質量分析法(LC/MS/MS)"
"シトルリン血症1型","タンデム質最分析法（タンデムマス法）、液体クロマトグラフィータンデム質量分析法(LC/MS/MS)"
"アルギニノコハク酸尿症","タンデム質量分析法（タンデムマス法）、液体クロマトグラフィータンデム質量分析法(LC/MS/MS)"
"メチルマロン酸血症","タンデム質量分析法（タンデムマス法）、ガスクロマトグラフ質量分析法(GC/MS法）"
"プロピオン酸血症","タンデム質量分析法（タンデムマス法）、ガスクロマトグラフ質量分析法(GC/MS法）"
"イソ吉草酸血症","タンデム質量分析法（タンデムマス法）、ガスクロマトグラフ質量分析法(GC/MS法）"
"メチルクロトニルグリシン尿症","タンデム質量分析法（タンデムマス法）、ガスクロマトグラフ質量分析法(GC/MS法）"
"ヒドロキシメチルグルタル酸血症(HMG血症）","タンデム質量分析法（タンデムマス法）、ガスクロマトグラフ質量分析法(GC/MS法）"
"複合カルボキシラーゼ欠損症","タンデム質量分析法（タンデムマス法）、ガスクロマトグラフ質量分析法(GC/MS法）"
"グルタル酸血症1型","タンデム質量分析法（タンデムマス法）、ガスクロマトグラフ質量分析法(GC/MS法）"
"中鎖アシルCoA脱水素酵素欠損症(MCAD欠損症）","タンデム質量分析法（タンデムマス法）、ガスクロマトグラフ質量分析法(GC/MS法）"
"極長鎖アシルCoA脱水素酵素欠損症(VLCAD欠損症）","タンデム質量分析法（タンデムマス法）"
"三頭酵素／長鎖ー3ヒドロキシアシルCoA脱水素酵素欠損症(TFP/LCHAD欠損症）","タンデム質量分析法（タンデムマス法）"
"カルニチンパルミトイルトランスフェラーゼー1欠損症(CPT-1欠損症）","タンデム質量分析法（タンデムマス法）"
"カルニチンパルミトイルトランスフェラーゼー2欠損症(CPT-2欠損症）","タンデム質量分析法（タンデムマス法）"
"ガラクトース血症","ガラクトース脱水素酵素・マイクロプレート法、ボイトラ一法、エピメラーゼ活性測定法"
"先天性甲状腺機能低下症","イムノアッセイ法"
"先天性副腎過形成症","イムノアッセイ法、タンデム質量分析法（タンデムマス法）"
