"","腹囲","リスク保有数／総数／％","リスク保有数／総数／(人数)","リスク保有数／0／％","リスク保有数／0／(人数)","リスク保有数／1／％","リスク保有数／1／(人数)","リスク保有数／2／％","リスク保有数／2／(人数)","リスク保有数／3／％","リスク保有数／3／(人数)"
"総数／総数","85cm未満(男)／90cm未満(女)","100.00","102","38.20","39","48.00","49","12.70","13","1.00","1"
"総数／総数","85cm以上(男)／90cm以上(女)","100.00","52","21.20","11","36.50","19","25.00","13","17.30","9"
"総数／20～29歳","85cm未満(男)／90cm未満(女)","100.00","6","100.00","6","0.00","0","0.00","0","0.00","0"
"総数／20～29歳","85cm以上(男)／90cm以上(女)","100.00","1","100.00","1","0.00","0","0.00","0","0.00","0"
"総数／30～39歳","85cm未満(男)／90cm未満(女)","100.00","3","100.00","3","0.00","0","0.00","0","0.00","0"
"総数／30～39歳","85cm以上(男)／90cm以上(女)","","0","","0","","0","","0","","0"
"総数／40～49歳","85cm未満(男)／90cm未満(女)","100.00","22","63.60","14","36.40","8","0.00","0","0.00","0"
"総数／40～49歳","85cm以上(男)／90cm以上(女)","100.00","11","36.40","4","45.50","5","18.20","2","0.00","0"
"総数／50～59歳","85cm未満(男)／90cm未満(女)","100.00","16","37.50","6","43.80","7","18.80","3","0.00","0"
"総数／50～59歳","85cm以上(男)／90cm以上(女)","100.00","7","28.60","2","42.90","3","14.30","1","14.30","1"
"総数／60～69歳","85cm未満(男)／90cm未満(女)","100.00","28","25.00","7","50.00","14","21.40","6","3.60","1"
"総数／60～69歳","85cm以上(男)／90cm以上(女)","100.00","14","21.40","3","57.10","8","14.30","2","7.10","1"
"総数／70歳以上","85cm未満(男)／90cm未満(女)","100.00","27","11.10","3","74.10","20","14.80","4","0.00","0"
"総数／70歳以上","85cm以上(男)／90cm以上(女)","100.00","19","5.30","1","15.80","3","42.10","8","36.80","7"
"総数／(再掲)40～74歳","85cm未満(男)／90cm未満(女)","100.00","77","36.40","28","46.80","36","15.60","12","1.30","1"
"総数／(再掲)40～74歳","85cm以上(男)／90cm以上(女)","100.00","40","22.50","9","40.00","16","27.50","11","10.00","4"
"総数／(再掲)65～74歳","85cm未満(男)／90cm未満(女)","100.00","31","22.60","7","54.80","17","19.40","6","3.20","1"
"総数／(再掲)65～74歳","85cm以上(男)／90cm以上(女)","100.00","17","5.90","1","29.40","5","47.10","8","17.60","3"
"総数／(再掲)75歳以上","85cm未満(男)／90cm未満(女)","100.00","16","12.50","2","81.30","13","6.30","1","0.00","0"
"総数／(再掲)75歳以上","85cm以上(男)／90cm以上(女)","100.00","11","9.10","1","27.30","3","18.20","2","45.50","5"
"男性／総数","85cm未満","100.00","27","22.20","6","63.00","17","14.80","4","0.00","0"
"男性／総数","85cm以上","100.00","36","19.40","7","36.10","13","30.60","11","13.90","5"
"男性／20～29歳","85cm未満","100.00","2","100.00","2","0.00","0","0.00","0","0.00","0"
"男性／20～29歳","85cm以上","100.00","1","100.00","1","0.00","0","0.00","0","0.00","0"
