"支出月","科目","支出目的","支出額(円)","支出相手先"
"H23/04","交付金交付","介護職員処遇改善交付金（4月分）","468091810","東京都国民健康保険団体連合会"
"H23/04","委託料","交付金支払関連事務","476280","東京都国民健康保険団体連合会"
"H23/05","交付金交付","介護職員処遇改善交付金（5月分）","1480811653","東京都国民健康保険団体連合会"
"H23/05","人件費","労働派遣（4月）","1211962","(株)ｹｰ･ﾃﾞｰ･ｼｰ"
"H23/05","委託料","交付金支払関連事務","564445","東京都国民健康保険団体連合会"
"H23/06","交付金交付","介護職員処遇改善交付金（6月分）","1009831079","東京都国民健康保険団体連合会"
"H23/06","人件費","労働派遣（5月）","2740594","(株)ｹｰ･ﾃﾞｰ･ｼｰ"
"H23/06","委託料","交付金支払関連事務","587845","東京都国民健康保険団体連合会"
"H23/07","交付金交付","介護職員処遇改善交付金（7月分）","1038958833","東京都国民健康保険団体連合会"
"H23/07","人件費","労働派遣（6月）","3156867","(株)ｹｰ･ﾃﾞｰ･ｼｰ"
"H23/07","委託料","交付金支払関連事務","590595","東京都国民健康保険団体連合会"
"H23/07","物件費","フラットファイル購入","74500","(株)ミクニ商会"
"H23/08","交付金交付","介護職員処遇改善交付金（8月分）","1029256399","東京都国民健康保険団体連合会"
"H23/08","人件費","労働派遣（7月）","2867602","(株)ｹｰ･ﾃﾞｰ･ｼｰ"
"H23/08","委託料","交付金支払関連事務","593175","東京都国民健康保険団体連合会"
"H23/08","使用料及び賃料","ロッカー","47250","(株)創和"
"H23/08","物件費","文書保存箱購入","4515","(株)ミクニ商会"
"H23/09","交付金交付","介護職員処遇改善交付金（9月分）","1048130440","東京都国民健康保険団体連合会"
"H23/09","人件費","労働派遣（8月）","2228026","(株)ｹｰ･ﾃﾞｰ･ｼｰ"
"H23/09","委託料","交付金支払関連事務","593020","東京都国民健康保険団体連合会"
"","郵券(上半期）","承認通知書、納入通知書等の発送など","176160","郵便事業(株)"
"H23/09","負担金補助及び交付金","補助金交付","120000000","（福）平成記念会"
"H23/09","負担金補助及び交付金","補助金交付","38628000","大田区"
"H23/10","交付金交付","介護職員処遇改善交付金（10月分）","1066133813","東京都国民健康保険団体連合会"
"H23/10","人件費","労働派遣（９月）","1083253","(株)ｹｰ･ﾃﾞｰ･ｼｰ"
"H23/10","委託料","交付金支払関連事務","592280","東京都国民健康保険団体連合会"
"H23/10","物件費","宛名ラベル","10920","(株)岡本紙文具店"
"H23/11","交付金交付","介護職員処遇改善交付金（11月分）","1040329554","東京都国民健康保険団体連合会"
"H23/11","人件費","労働派遣（１０月）","1127479","(株)ｹｰ･ﾃﾞｰ･ｼｰ"
"H23/11","委託料","交付金支払関連事務","594565","東京都国民健康保険団体連合会"
"H23/11","物件費","封筒","16275","（福）東京コロニー"
"H23/12","交付金交付","介護職員処遇改善交付金（12月分）","1068070994","東京都国民健康保険団体連合会"
"H23/12","人件費","労働派遣（１１月）","1103949","(株)ｹｰ･ﾃﾞｰ･ｼｰ"
"H23/12","委託料","交付金支払関連事務","594870","東京都国民健康保険団体連合会"
"H23/12","負担金補助及び交付金","補助金交付","84401000","世田谷区"
"H24/01","交付金交付","介護職員処遇改善交付金（1月分）","1046560120","東京都国民健康保険団体連合会"
"H24/01","人件費","労働派遣（１２月）","1867131","(株)ｹｰ･ﾃﾞｰ･ｼｰ"
"H24/01","委託料","交付金支払関連事務","597385","東京都国民健康保険団体連合会"
"H24/01","負担金補助及び交付金","補助金交付","109200000","（医）徳寿会、（医財）川瀬会"
"H24/01","負担金補助及び交付金","補助金交付","298625000","（福）清風会（福）芳洋会"
"H24/02","交付金交付","介護職員処遇改善交付金（2月分）","1066120062","東京都国民健康保険団体連合会"
"H24/02","人件費","労働派遣（１月）","2061045","(株)ｹｰ･ﾃﾞｰ･ｼｰ"
"H24/02","委託料","交付金支払関連事務","598795","東京都国民健康保険団体連合会"
"H24/02","物件費","宛名ラベル等","16002","(株)第一文真堂"
"H24/02","負担金補助及び交付金","補助金交付","12000000","（医財）秀行会"
"H24/03","交付金交付","介護職員処遇改善交付金（3月分）","1043690976","東京都国民健康保険団体連合会"
"H24/03","人件費","労働派遣（２月）","2299752","(株)ｹｰ･ﾃﾞｰ･ｼｰ"
"H24/03","委託料","交付金支払関連事務","600610","東京都国民健康保険団体連合会"
"H24/03","物件費","フラットファイル購入","55380","(株)ミクニ商会"
"H24/03","物件費","承認通知書の印刷","22050","（福）東京コロニー"
"H24/03","負担金補助及び交付金","補助金交付","191210000","墨田区"
"H24/04","人件費","労働派遣（３月）","2066148","(株)ｹｰ･ﾃﾞｰ･ｼｰ"
"H24/04","委託料","交付金支払関連事務","111825","東京都国民健康保険団体連合会"
"H24/04","負担金補助及び交付金","補助金交付","48000000","（福）みどり福祉会"
"H24/04","負担金補助及び交付金","補助金交付","143035000","（福）善光会"
"H24/05","交付金返納","実績報告による返納金等","(85,986,808)","交付金受給事業者"
"H24/05","負担金補助及び交付金","補助金交付","483920000","品川区外24区市"
"H24/05","負担金補助及び交付金","補助金交付","767432000","（福）相愛福祉会外20法人"
"H24/05","負担金補助及び交付金","補助金交付","22011000","板橋区"
"H24/05","負担金補助及び交付金","補助金交付","946490000","（福）春和会外6法人"
"","交付金返納","介護報酬の過誤調整等に基づく交付金の返納","(489,404)","交付金受給事業者"
"","郵券(下半期）","承認通知書、納入通知書等の発送など","623290","郵便事業(株)"
"","","","15616417361",""
