"","はい","いいえ"
"対象者数","1966","11621"
"症状１","1871","11044"
"%","95.17","95.03"
"症状２","1891","11190"
"%","96.19","96.29"
"症状３","1833","10651"
"%","93.23","91.65"
"症状４","1834","10488"
"%","93.29","90.25"
"症状５","1912","11346"
"%","97.25","97.63"
"（軽症）間欠型","485","2785"
"%","24.67","23.97"
"軽症持続型","764","4318"
"%","38.86","37.16"
"中等症持続型","560","3586"
"%","28.48","30.86"
"重症持続型","154","901"
"%","7.83","7.75"
"アレ・ダニ・陽性","1413","7845"
"%","71.87","67.51"
"アレ・ダニ・擬陽性","28","238"
"%","1.42","2.05"
"アレ・ダニ・陰性","445","3028"
"%","22.63","26.06"
"アレ・ハウスダスト・陽性","1351","7351"
"%","68.72","63.26"
"アレ・ハウスダスト・擬陽性","21","246"
"%","1.07","2.12"
"アレ・ハウスダスト・陰性","438","2927"
"%","22.28","25.19"
