"","問3-1 主食､主菜､副菜のうち､組み合わせて食べられないのはどれですか｡あてはまる番号をすべて選んで○印をつけて下さい。／合計","問3-1 主食､主菜､副菜のうち､組み合わせて食べられないのはどれですか｡あてはまる番号をすべて選んで○印をつけて下さい。／主食","問3-1 主食､主菜､副菜のうち､組み合わせて食べられないのはどれですか｡あてはまる番号をすべて選んで○印をつけて下さい。／主菜","問3-1 主食､主菜､副菜のうち､組み合わせて食べられないのはどれですか｡あてはまる番号をすべて選んで○印をつけて下さい。／副菜","問3-1 主食､主菜､副菜のうち､組み合わせて食べられないのはどれですか｡あてはまる番号をすべて選んで○印をつけて下さい。／無回答","問４ あなたは､外食(飲食店での食事)をどのくらい利用していますか｡該当する番号を1つ選んで○印をつけて下さい。／合計","問４ あなたは､外食(飲食店での食事)をどのくらい利用していますか｡該当する番号を1つ選んで○印をつけて下さい。／毎日2回以上","問４ あなたは､外食(飲食店での食事)をどのくらい利用していますか｡該当する番号を1つ選んで○印をつけて下さい。／毎日1回","問４ あなたは､外食(飲食店での食事)をどのくらい利用していますか｡該当する番号を1つ選んで○印をつけて下さい。／週4～6回","問４ あなたは､外食(飲食店での食事)をどのくらい利用していますか｡該当する番号を1つ選んで○印をつけて下さい。／週2～3回","問４ あなたは､外食(飲食店での食事)をどのくらい利用していますか｡該当する番号を1つ選んで○印をつけて下さい。／週1回","問４ あなたは､外食(飲食店での食事)をどのくらい利用していますか｡該当する番号を1つ選んで○印をつけて下さい。／週1回未満","問４ あなたは､外食(飲食店での食事)をどのくらい利用していますか｡該当する番号を1つ選んで○印をつけて下さい。／全く利用しない","問４ あなたは､外食(飲食店での食事)をどのくらい利用していますか｡該当する番号を1つ選んで○印をつけて下さい。／無回答","問5 あなたは､持ち帰りの弁当や総菜をどのくらい利用していますか｡該当する番号を1つ選んで○印をつけて下さい。／合計","問5 あなたは､持ち帰りの弁当や総菜をどのくらい利用していますか｡該当する番号を1つ選んで○印をつけて下さい。／毎日2回以上","問5 あなたは､持ち帰りの弁当や総菜をどのくらい利用していますか｡該当する番号を1つ選んで○印をつけて下さい。／毎日1回","問5 あなたは､持ち帰りの弁当や総菜をどのくらい利用していますか｡該当する番号を1つ選んで○印をつけて下さい。／週4～6回","問5 あなたは､持ち帰りの弁当や総菜をどのくらい利用していますか｡該当する番号を1つ選んで○印をつけて下さい。／週2～3回","問5 あなたは､持ち帰りの弁当や総菜をどのくらい利用していますか｡該当する番号を1つ選んで○印をつけて下さい。／週1回","問5 あなたは､持ち帰りの弁当や総菜をどのくらい利用していますか｡該当する番号を1つ選んで○印をつけて下さい。／週1回未満","問5 あなたは､持ち帰りの弁当や総菜をどのくらい利用していますか｡該当する番号を1つ選んで○印をつけて下さい。／全く利用しない","問5 あなたは､持ち帰りの弁当や総菜をどのくらい利用していますか｡該当する番号を1つ選んで○印をつけて下さい。／無回答"
"全体総数(人)","209","50","44","140","2","411","3","16","36","64","80","149","61","2","411","5","10","28","82","67","142","76","1"
"全体総数(%)","100","23.9","21.1","67","1","100","0.7","3.9","8.8","15.6","19.5","36.3","14.8","0.5","100","1.2","2.4","6.8","20","16.3","34.5","18.5","0.2"
"20～29歳(人)","25","5","3","19","0","38","1","0","7","10","8","9","2","1","38","0","1","6","6","4","14","7","0"
"20～29歳(%)","100","20","12","76","0","100","2.6","0","18.4","26.3","21.1","23.7","5.3","2.6","100","0","2.6","15.8","15.8","10.5","36.8","18.4","0"
"30～39歳(人)","26","8","4","18","0","39","1","4","8","3","9","13","1","0","39","1","2","3","8","7","16","2","0"
"30～39歳(%)","100","30.8","15.4","69.2","0","100","2.6","10.3","20.5","7.7","23.1","33.3","2.6","0","100","2.6","5.1","7.7","20.5","17.9","41","5.1","0"
"40～49歳(人)","48","8","10","37","0","77","0","3","5","14","26","28","1","0","77","1","0","4","19","17","31","5","0"
"40～49歳(%)","100","16.7","20.8","77.1","0","100","0","3.9","6.5","18.2","33.8","36.4","1.3","0","100","1.3","0","5.2","24.7","22.1","40.3","6.5","0"
"50～59歳(人)","37","8","16","25","0","67","0","7","7","15","8","23","7","0","67","2","2","3","12","13","19","16","0"
"50～59歳(%)","100","21.6","43.2","67.6","0","100","0","10.4","10.4","22.4","11.9","34.3","10.4","0","100","3","3","4.5","17.9","19.4","28.4","23.9","0"
"60～69歳(人)","41","12","8","22","1","85","0","1","7","10","15","36","15","1","85","0","2","7","17","13","29","17","0"
"60～69歳(%)","100","29.3","19.5","53.7","2.4","100","0","1.2","8.2","11.8","17.6","42.4","17.6","1.2","100","0","2.4","8.2","20","15.3","34.1","20","0"
"70歳～(人)","32","9","3","19","1","105","1","1","2","12","14","40","35","0","105","1","3","5","20","13","33","29","1"
"70歳～(%)","100","28.1","9.4","59.4","3.1","100","1","1","1.9","11.4","13.3","38.1","33.3","0","100","1","2.9","4.8","19","12.4","31.4","27.6","1"
"男性総数(人)","111","27","24","75","1","193","1","10","29","40","33","52","27","1","193","1","8","17","33","24","64","45","1"
"男性総数(%)","100","24.3","21.6","67.6","0.9","100","0.5","5.2","15","20.7","17.1","26.9","14","0.5","100","0.5","4.1","8.8","17.1","12.4","33.2","23.3","0.5"
"20～29歳(人)","14","3","3","10","0","19","0","0","5","8","4","1","1","0","19","0","0","4","2","1","5","7","0"
"20～29歳(%)","100","21.4","21.4","71.4","0","100","0","0","26.3","42.1","21.1","5.3","5.3","0","100","0","0","21.1","10.5","5.3","26.3","36.8","0"
"30～39歳(人)","18","5","3","13","0","25","1","3","7","3","5","6","0","0","25","0","2","2","5","4","11","1","0"
"30～39歳(%)","100","27.8","16.7","72.2","0","100","4","12","28","12","20","24","0","0","100","0","8","8","20","16","44","4","0"
