"No.","日付","ヒアリング先","地域","人数"
"1","2月3日(木)","(1)-1","世田谷区","8"
"1","2月24日(木)","(1)-2","世田谷区","8"
"2","2月8日(火)","(2)-1","江戸川区","6"
"2","2月8日(火)","(2)-2","江戸川区","6"
"3","2月10日(木)","(3)-1","新宿区","8"
"3","2月10日(木)","(3)-2","新宿区","6"
"4","2月14日(月)","(4)-1","八王子市","6"
"4","2月14日(月)","(4)-2","八王子市","7"
"5","2月21日(月)","(5)-1","練馬区","5"
"5","2月21日(月)","(5)-2","練馬区","8"
"6","2月25日(金)","(6)-1","杉並区","6"
"6","2月25日(金)","(6)-2","杉並区","9"
"7","2月26日(土)","(7)-1","荒川区","4"
"7","2月26日(土)","(7)-2","荒川区","5"
"8","2月28日(月)","(8)-1","青梅市","9"
"8","2月28日(月)","(8)-2","青梅市","4"
"9","3月7日(月)","(9)-1","府中市","6"
"9","3月7日(月)","(9)-2","府中市","6"
"10","3月8日(火)","(10)-1","港区","6"
