"地番／NO","(A)818-2/Xn","(A)818-2/Yn","(A)818-2/Yn+1-Yn-1","(A)818-2/Xn・(Yn+1-Yn-1)"
"K.74","-37218.634","-19039.391","11.600","-431736.154400"
"K.77","-37220.973","-19029.811","10.609","-394877.302557"
"K.78","-37221.224","-19028.782","11.061","-411703.958664"
"K.190","-37223.673","-19018.750","-1.156","43030.565988"
"K.191","-37254.094","-19029.938","-12.049","448874.578606"
"K.7","-37253.667","-19030.799","-13.810","514473.141270"
"K.5","-37249.379","-19043.748","-11.149","415293.326471"
"K.6","-37236.675","-19041.948","2.326","-86612.506050"
"K.201","-37232.960","-19041.422","0.537","-19994.099520"
"K.73","-37232.885","-19041.411","2.031","-75619.989435"
"合計","","","","1127.601709"
"合計面積","","","","563.8008545"
"地積(m2)","","","","563.80"
