"","総数／人","総数／％","至適血圧／人","至適血圧／％","正常血圧／人","正常血圧／％","正常高値血圧／人","正常高値血圧／％","1度高血圧／人","1度高血圧／％","2度高血圧／人","2度高血圧／％","3度高血圧／人","3度高血圧／％","(再掲)収縮期高血圧／人","(再掲)収縮期高血圧／％"
"総数","125","100","42","33.6","26","20.8","30","24","21","16.8","5","4","1","0.8","10","8"
"総数／20～29","7","100","7","100","0","0","0","0","0","0","0","0","0","0","0","0"
"総数／30～39","3","100","2","66.7","1","33.3","0","0","0","0","0","0","0","0","0","0"
"総数／40～49","35","100","16","45.7","7","20","8","22.9","4","11.4","0","0","0","0","0","0"
"総数／50～59","17","100","8","47.1","4","23.5","2","11.8","3","17.6","0","0","0","0","1","5.9"
"総数／60～69","39","100","8","20.5","6","15.4","10","25.6","11","28.2","3","7.7","1","2.6","6","15.4"
"総数／70歳以上","24","100","1","4.2","8","33.3","10","41.7","3","12.5","2","8.3","0","0","3","12.5"
"総数／(再掲)40～74歳","104","100","32","30.8","21","20.2","27","26","18","17.3","5","4.8","1","1","7","6.7"
"総数／(再掲)65～74歳","38","100","5","13.2","8","21.1","13","34.2","8","21.1","3","7.9","1","2.6","5","13.2"
"総数／(再掲)75歳以上","11","100","1","9.1","4","36.4","3","27.3","3","27.3","0","0","0","0","3","27.3"
"男／総数","44","100","8","18.2","12","27.3","12","27.3","9","20.5","3","6.8","0","0","3","6.8"
"男／20～29","3","100","3","100","0","0","0","0","0","0","0","0","0","0","0","0"
"男／30～39","1","100","0","0","1","100","0","0","0","0","0","0","0","0","0","0"
"男／40～49","8","100","1","12.5","1","12.5","3","37.5","3","37.5","0","0","0","0","0","0"
"男／50～59","3","100","1","33.3","2","66.7","0","0","0","0","0","0","0","0","0","0"
"男／60～69","14","100","3","21.4","3","21.4","2","14.3","5","35.7","1","7.1","0","0","2","14.3"
"男／70歳以上","15","100","0","0","5","33.3","7","46.7","1","6.7","2","13.3","0","0","1","6.7"
"男／(再掲)40～74歳","36","100","5","13.9","10","27.8","10","27.8","8","22.2","3","8.3","0","0","2","5.6"
"男／(再掲)65～74歳","20","100","2","10","6","30","6","30","4","20","2","10","0","0","2","10"
"男／(再掲)75歳以上","4","100","0","0","1","25","2","50","1","25","0","0","0","0","1","25"
"女／総数","81","100","34","42","14","17.3","18","22.2","12","14.8","2","2.5","1","1.2","7","8.6"
"女／20～29","4","100","4","100","0","0","0","0","0","0","0","0","0","0","0","0"
"女／30～39","2","100","2","100","0","0","0","0","0","0","0","0","0","0","0","0"
"女／40～49","27","100","15","55.6","6","22.2","5","18.5","1","3.7","0","0","0","0","0","0"
"女／50～59","14","100","7","50","2","14.3","2","14.3","3","21.4","0","0","0","0","1","7.1"
"女／60～69","25","100","5","20","3","12","8","32","6","24","2","8","1","4","4","16"
"女／70歳以上","9","100","1","11.1","3","33.3","3","33.3","2","22.2","0","0","0","0","2","22.2"
"女／(再掲)40～74歳","68","100","27","39.7","11","16.2","17","25","10","14.7","2","2.9","1","1.5","5","7.4"
"女／(再掲)65～74歳","18","100","3","16.7","2","11.1","7","38.9","4","22.2","1","5.6","1","5.6","3","16.7"
"女／(再掲)75歳以上","7","100","1","14.3","3","42.9","1","14.3","2","28.6","0","0","0","0","2","28.6"
